0,111.8126175403595
1,212.92237782478333
2,318.514351606369
3,424.78156328201294
4,525.8268055915833
5,626.889937877655
6,733.1751053333282
7,836.78693318367
8,936.9977016448975
9,1043.1186096668243
10,1147.0292382240295
11,1251.952912569046
12,1354.8898532390594
13,1461.080822944641
14,1567.9809336662292
15,1672.2287023067474
16,1776.4102582931519
17,1877.722663640976
18,1981.5015487670898
19,2083.5571620464325
20,2186.636953830719
21,2290.676127433777
22,2393.650969982147
23,2496.463305950165
24,2599.7657709121704
25,2707.6339507102966
26,2811.1561527252197
27,2914.2022652626038
28,3018.2284615039825
29,3125.3963255882263
30,3229.807928085327
31,3334.0496010780334
32,3438.790381669998
33,3548.056934595108
34,3654.0804810523987
35,3757.141473531723
36,3864.3762583732605
37,3969.768565416336
38,4074.113183736801
39,4177.259871006012
40,4281.970520734787
41,4387.363808393478
42,4490.455262422562
43,4594.185829162598
44,4700.077191352844
45,4802.870078802109
46,4902.846675395966
47,5004.642170906067
48,5112.125255584717
49,5220.167315483093
50,5322.204835653305
51,5425.616947650909
52,5537.01509976387
53,5642.486243009567
54,5744.151047945023
55,5848.731591701508
56,5954.654743909836
57,6060.705493211746
58,6160.041610717773
59,6265.0814480781555
60,6371.356371641159
61,6478.86138510704
62,6582.3562071323395
63,6683.196752548218
64,6789.821947813034
65,6895.277588605881
66,6998.479722499847
67,7100.625994443893
68,7206.875600576401
69,7314.088897943497
70,7418.822937488556
71,7522.593227148056
72,7630.470236778259
73,7736.708286046982
74,7841.834262371063
75,7945.01157617569
76,8050.668506860733
77,8157.558758020401
78,8262.289842367172
79,8366.338793754578
80,8470.901101112366
81,8576.358322620392
82,8681.40182852745
83,8785.26551604271
84,8890.341454029083
85,8996.10842370987
86,9100.612129211426
87,9205.6020591259
88,9311.409945487976
89,9418.267808198929
90,9522.783639431
91,9625.915777921677
92,9731.300976753235
93,9836.235309362411
94,9940.254662275314
95,10044.097890853882
96,10150.009948253632
97,10255.202102899551
98,10360.005897760391
99,10464.490643262863
100,10569.652779102325
101,10675.093531370163
102,10780.423379182816
103,10884.575296401978
104,10996.073009729385
105,11096.395035505295
106,11198.080276489258
107,11302.818106889725
108,11410.645448207855
109,11518.145584583282
110,11620.586195230484
111,11725.913856506348
112,11828.839184045792
113,11932.414945363998
114,12036.06586933136
115,12141.835698366165
116,12249.615863800049
117,12352.768887519836
118,12459.162752628326
119,12565.11307835579
120,12669.542350769043
121,12774.504934310913
122,12875.549024105072
123,12978.79197216034
124,13087.128963470459
125,13194.63323521614
126,13296.458265304565
127,13403.210846424103
128,13506.308668851852
129,13633.419508934021
130,13741.052156209946
131,13842.90217256546
132,13947.362009525299
133,14052.419787406921
134,14160.49868631363
135,14266.367824792862
136,14367.337306976318
137,14473.779760599136
138,14580.639536619186
