"Step","Grouped runs - collection/reward/extrinsic_episode_reward_min","Grouped runs - collection/reward/extrinsic_episode_reward_min__MIN","Grouped runs - collection/reward/extrinsic_episode_reward_min__MAX"
"2000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"4000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"6000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"8000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"10000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"12000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"14000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"16000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"18000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"20000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"22000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"24000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"26000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"28000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"30000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"32000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"34000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"36000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"38000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"40000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"42000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"44000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"46000","-2.9999957159161568","-5.999995231628418","0.0000037997961044311523"
"48000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"50000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"52000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"54000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"56000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"58000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"60000","-2.9999957159161568","-5.999995231628418","0.0000037997961044311523"
"62000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"64000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"66000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"68000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"70000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"72000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"74000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"76000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"78000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"80000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"82000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"84000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"86000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"88000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"90000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"92000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"94000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"96000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"98000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"100000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"102000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"104000","-2.9999957159161568","-5.999995231628418","0.0000037997961044311523"
"106000","-2.9999955371022224","-5.999995231628418","0.000004157423973083496"
"108000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"110000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"112000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"114000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"116000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"118000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"120000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"122000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"124000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"126000","-2.9999955371022224","-5.999995231628418","0.000004157423973083496"
"128000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"130000","-2.9999957159161568","-5.999995231628418","0.0000037997961044311523"
"132000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"134000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"136000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"138000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"140000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"142000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"144000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"146000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"148000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"150000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"152000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"154000","-2.9999957159161568","-5.999995231628418","0.0000037997961044311523"
"156000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"158000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"160000","-2.9999957159161568","-5.999995231628418","0.0000037997961044311523"
"162000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"164000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"166000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"168000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"170000","-2.9999957159161568","-5.999995231628418","0.0000037997961044311523"
"172000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"174000","-2.9999957159161568","-5.999995231628418","0.0000037997961044311523"
"176000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"178000","-2.9999955371022224","-5.999995231628418","0.000004157423973083496"
"180000","-2.9999955371022224","-5.999995231628418","0.000004157423973083496"
"182000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"184000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"186000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"188000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"190000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"192000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"194000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"196000","-2.9999955371022224","-5.999995231628418","0.000004157423973083496"
"198000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"200000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"202000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"204000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"206000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"208000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"210000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"212000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"214000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"216000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"218000","-2.9999957159161568","-5.999995231628418","0.0000037997961044311523"
"220000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"222000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"224000","-2.9999955371022224","-5.999995231628418","0.000004157423973083496"
"226000","-2.9999957159161568","-5.999995231628418","0.0000037997961044311523"
"228000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"230000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"232000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"234000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"236000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"238000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"240000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"242000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"244000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"246000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"248000","-2.9999957159161568","-5.999995231628418","0.0000037997961044311523"
"250000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"252000","-2.9999955371022224","-5.999995231628418","0.000004157423973083496"
"254000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"256000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"258000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"260000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
"262000","-5.999995231628418","-5.999995231628418","-5.999995231628418"
