"Step","Grouped runs - collection/reward/extrinsic_episode_reward_mean","Grouped runs - collection/reward/extrinsic_episode_reward_mean__MIN","Grouped runs - collection/reward/extrinsic_episode_reward_mean__MAX"
"2000","-0.8999956846237183","-1.199995756149292","-0.5999956130981445"
"4000","-1.7999957203865051","-2.399995803833008","-1.1999956369400024"
"6000","-2.6999957874418214","-5.399995803833008","0.0000042289493649150245"
"8000","-2.3999953866004944","-4.199995040893555","-0.5999957323074341"
"10000","-1.7999957203865051","-2.399995803833008","-1.1999956369400024"
"12000","-2.9999953508377075","-3.5999953746795654","-2.3999953269958496"
"14000","-2.6999958753585815","-4.199995994567871","-1.199995756149292"
"16000","-1.7999956011772156","-1.79999577999115","-1.7999954223632812"
"18000","-0.29999576359978164","-0.5999957919120789","0.0000042647125155781396"
"20000","-4.499995827674866","-5.399995803833008","-3.5999958515167236"
"22000","-1.7999955415725708","-1.7999956607818604","-1.7999954223632812"
"24000","-2.399995446205139","-2.999995470046997","-1.7999954223632812"
"26000","-1.7999957203865051","-2.999995708465576","-0.5999957323074341"
"28000","-3.29999577999115","-4.7999958992004395","-1.7999956607818604"
"30000","-2.3999950289726257","-2.999994993209839","-1.7999950647354126"
"32000","-1.4999955892562866","-1.7999954223632812","-1.199995756149292"
"34000","-1.1999958157539368","-1.1999958753585815","-1.199995756149292"
"36000","-0.29999576732507194","-0.5999957323074341","0.000004197657290205825"
"38000","-1.799995481967926","-2.3999953269958496","-1.1999956369400024"
"40000","-1.1999957039952278","-2.3999955654144287","0.000004157423973083496"
"42000","-2.09999584704633","-4.199995994567871","0.000004300475211493904"
"44000","-0.29999547153715866","-0.599995493888855","0.000004550814537651604"
"46000","-1.7999954223632812","-2.3999953269958496","-1.199995517730713"
"48000","-3.899995803833008","-4.7999958992004395","-2.999995708465576"
"50000","-2.3999955654144287","-2.999995708465576","-1.7999954223632812"
"52000","-3.5999956130981445","-4.199995517730713","-2.999995708465576"
"54000","-1.7999956011772156","-2.999995708465576","-0.599995493888855"
"56000","-1.79999577999115","-2.399995803833008","-1.199995756149292"
"58000","-4.499995946884155","-4.7999958992004395","-4.199995994567871"
"60000","-2.3999955654144287","-2.999995470046997","-1.7999956607818604"
"62000","-2.699995517730713","-4.199995517730713","-1.199995517730713"
"64000","-1.799995243549347","-2.999994993209839","-0.599995493888855"
"66000","-2.0999956727027893","-2.999995708465576","-1.1999956369400024"
"68000","-1.499995470046997","-1.7999954223632812","-1.199995517730713"
"70000","-1.4999955296516418","-2.3999953269958496","-0.5999957323074341"
"72000","-2.09999543428421","-3.5999953746795654","-0.599995493888855"
"74000","-0.299995650351093","-0.5999956727027893","0.000004372000603325432"
"76000","-1.799995481967926","-2.3999953269958496","-1.1999956369400024"
"78000","-1.7999955415725708","-2.3999953269958496","-1.199995756149292"
"80000","-3.29999577999115","-5.399995803833008","-1.199995756149292"
"82000","-2.399995446205139","-2.999995470046997","-1.7999954223632812"
"84000","-0.5999957635999635","-1.199995756149292","0.0000042289493649150245"
"86000","-0.899995744228363","-1.199995756149292","-0.5999957323074341"
"88000","-1.4999956488609314","-2.399995803833008","-0.599995493888855"
"90000","-0.5999955534934998","-0.5999956727027893","-0.5999954342842102"
"92000","-1.199995517730713","-1.199995756149292","-1.1999952793121338"
"94000","-2.099995791912079","-2.399995803833008","-1.79999577999115"
"96000","-1.4999955892562866","-1.7999956607818604","-1.199995517730713"
"98000","-2.0999957025051117","-3.5999958515167236","-0.5999955534934998"
"100000","-3.599995255470276","-4.199995040893555","-2.999995470046997"
"102000","-2.0999956130981445","-2.999995708465576","-1.199995517730713"
"104000","-1.7999956607818604","-2.999995708465576","-0.5999956130981445"
"106000","-1.1999955847859383","-2.3999953269958496","0.000004157423973083496"
"108000","-1.19999552443619","-2.3999953269958496","0.000004278123469703132"
"110000","-1.499995683599309","-2.999995708465576","0.000004341266958363121"
"112000","-1.499995470046997","-1.7999954223632812","-1.199995517730713"
"114000","-2.699995756149292","-3.5999958515167236","-1.7999956607818604"
"116000","-1.799995481967926","-2.3999953269958496","-1.1999956369400024"
"118000","-2.3999958634376526","-4.199995994567871","-0.5999957323074341"
"120000","-1.199995517730713","-1.7999954223632812","-0.5999956130981445"
"122000","-3.5999956130981445","-4.799995422363281","-2.399995803833008"
"124000","-2.399995446205139","-3.5999953746795654","-1.199995517730713"
"126000","-0.29999577552075607","-0.5999958515167236","0.000004300475211493904"
"128000","-1.7999957203865051","-2.999995708465576","-0.5999957323074341"
"130000","-0.8999956846237183","-1.199995756149292","-0.5999956130981445"
"132000","-0.8999957576393172","-1.79999577999115","0.0000042647125155781396"
"134000","-1.1999955773353577","-1.7999954223632812","-0.5999957323074341"
"136000","-2.3999953269958496","-2.3999953269958496","-2.3999953269958496"
"138000","-3.5999958515167236","-4.7999958992004395","-2.399995803833008"
"140000","-1.7999956607818604","-2.399995803833008","-1.199995517730713"
"142000","-2.0999956130981445","-2.999995470046997","-1.199995756149292"
"144000","-3.2999958992004395","-4.199995994567871","-2.399995803833008"
"146000","-1.4999953508377075","-1.7999954223632812","-1.1999952793121338"
"148000","-2.699995517730713","-4.199995517730713","-1.199995517730713"
"150000","-0.899995744228363","-1.199995756149292","-0.5999957323074341"
"152000","-2.099995404481888","-3.5999951362609863","-0.5999956727027893"
"154000","-0.599995531141758","-1.1999953985214233","0.000004336237907409668"
