"Step","Grouped runs - collection/reward/intrinsic_episode_reward_min","Grouped runs - collection/reward/intrinsic_episode_reward_min__MIN","Grouped runs - collection/reward/intrinsic_episode_reward_min__MAX"
"2000","0","0","0"
"4000","-0.05780963599681854","-0.2535419762134552","0.13792270421981812"
"6000","-1.8627322912216187","-2.7269530296325684","-0.998511552810669"
"8000","-0.7705722749233246","-0.8925694227218628","-0.6485751271247864"
"10000","-0.5341560393571854","-0.6203652024269104","-0.4479468762874603"
"12000","-1.2068800926208496","-1.9271855354309082","-0.486574649810791"
"14000","-0.737992912530899","-1.2068243026733398","-0.26916152238845825"
"16000","-0.727264016866684","-1.2704988718032837","-0.18402916193008423"
"18000","-0.12115248292684555","-0.2558422088623047","0.013537243008613586"
"20000","-0.5298504531383514","-1.8964923620224","0.836791455745697"
"22000","-0.31357239186763763","-0.4974479377269745","-0.12969684600830078"
"24000","-0.0734350262209773","-0.1721007376909256","0.025230685248970985"
"26000","-0.5174484401941299","-0.8758215308189392","-0.15907534956932068"
"28000","0.04130581021308899","-0.2909853458404541","0.3735969662666321"
"30000","-0.20930901914834976","-0.21375766396522522","-0.2048603743314743"
"32000","0.04323071241378784","0.033679574728012085","0.0527818500995636"
"34000","-0.22203461080789566","-0.29633212089538574","-0.14773710072040558"
"36000","-0.016565576195716858","-0.15308240056037903","0.11995124816894531"
"38000","0.024468451738357544","-0.08433747291564941","0.1332743763923645"
"40000","-0.2608124017715454","-0.36392006278038025","-0.15770474076271057"
"42000","-0.15048205107450485","-0.24603110551834106","-0.05493299663066864"
"44000","-0.3855295181274414","-0.6399983763694763","-0.1310606598854065"
"46000","-0.6372904777526855","-0.7631300687789917","-0.5114508867263794"
"48000","-0.11631404608488083","-0.1673569679260254","-0.06527112424373627"
"50000","-0.1934378994628787","-0.4155837893486023","0.028707990422844887"
"52000","-0.259145051240921","-0.28659167885780334","-0.2316984236240387"
"54000","-0.3570909984409809","-0.743499219417572","0.0293172225356102"
"56000","0.0020470470190048218","-0.1797415316104889","0.18383562564849854"
"58000","-0.12021701037883759","-0.192500039935112","-0.04793398082256317"
"60000","-0.14300478249788284","-0.14372935891151428","-0.1422802060842514"
"62000","-0.03130318224430084","-0.1737295687198639","0.11112320423126221"
"64000","-0.036422453820705414","-0.1438593566417694","0.07101444900035858"
"66000","-0.3031285088509321","-0.5673375129699707","-0.03891950473189354"
"68000","-0.4319293797016144","-0.7102763652801514","-0.1535823941230774"
"70000","-0.17250338196754456","-0.21730703115463257","-0.12769973278045654"
"72000","0.01768098771572113","-0.08222763240337372","0.11758960783481598"
"74000","-0.16105718910694122","-0.20384520292282104","-0.1182691752910614"
"76000","0.011295647826045752","0.008120931684970856","0.014470363967120647"
"78000","-0.23796945810317993","-0.25095540285110474","-0.22498351335525513"
"80000","-0.11750417947769165","-0.19335737824440002","-0.041650980710983276"
"82000","-0.0657234825193882","-0.09516039490699768","-0.03628657013177872"
"84000","-0.019401472061872482","-0.09677144140005112","0.05796849727630615"
"86000","-0.18970539048314095","-0.2603156268596649","-0.11909515410661697"
"88000","-0.2141675129532814","-0.3482581377029419","-0.08007688820362091"
"90000","-0.09347879141569138","-0.09779015183448792","-0.08916743099689484"
"92000","-0.14073700830340385","-0.18589074909687042","-0.09558326750993729"
"94000","-0.019380945712327957","-0.06900368630886078","0.030241794884204865"
"96000","-0.2771341875195503","-0.5466357469558716","-0.007632628083229065"
"98000","-0.17801334336400032","-0.27408358454704285","-0.0819431021809578"
"100000","-0.00258704274892807","-0.04747395217418671","0.042299866676330566"
"102000","-0.1150440126657486","-0.13696609437465668","-0.09312193095684052"
"104000","0.016780294477939606","0.011746130883693695","0.021814458072185516"
"106000","-0.009722292423248291","-0.09192636609077454","0.07248178124427795"
"108000","-0.05114511772990227","-0.10970974713563919","0.007419511675834656"
