"Step","Grouped runs - collection/reward/intrinsic_episode_reward_min","Grouped runs - collection/reward/intrinsic_episode_reward_min__MIN","Grouped runs - collection/reward/intrinsic_episode_reward_min__MAX"
"2000","3","3","3"
"4000","3","3","3"
"6000","3","3","3"
"8000","3","3","3"
"10000","3","3","3"
"12000","3","3","3"
"14000","3","3","3"
"16000","3","3","3"
"18000","3","3","3"
"20000","3","3","3"
"22000","3","3","3"
"24000","3","3","3"
"26000","3","3","3"
"28000","2.7330710887908936","2.466142177581787","3"
"30000","2.9841426610946655","2.968285322189331","3"
"32000","2.476589798927307","1.9531795978546143","3"
"34000","2.3957968950271606","1.7915937900543213","3"
"36000","2.413374185562134","1.9249134063720703","2.9018349647521973"
"38000","2.016241192817688","1.625532865524292","2.406949520111084"
"40000","1.6610978841781616","1.3107960224151611","2.011399745941162"
"42000","1.4977540969848633","1.1094927787780762","1.8860154151916504"
"44000","1.4160441160202026","1.2507715225219727","1.5813167095184326"
"46000","1.349393904209137","1.2343674898147583","1.4644203186035156"
"48000","0.9706580638885498","0.9201850891113281","1.0211310386657715"
"50000","0.9417601227760315","0.8079584836959839","1.075561761856079"
"52000","0.8289169669151306","0.6786450147628784","0.9791889190673828"
"54000","0.6840519905090332","0.6328569650650024","0.735247015953064"
"56000","0.7077118158340454","0.5940022468566895","0.8214213848114014"
"58000","0.7178351581096649","0.6482365727424622","0.7874337434768677"
"60000","0.6703921854496002","0.5678606033325195","0.7729237675666809"
"62000","0.591547280550003","0.5186724662780762","0.6644220948219299"
"64000","0.6011582612991333","0.5310711860656738","0.6712453365325928"
"66000","0.5751289129257202","0.5237779021263123","0.6264799237251282"
"68000","0.488957941532135","0.48526322841644287","0.49265265464782715"
"70000","0.5785117745399475","0.5516179203987122","0.6054056286811829"
"72000","0.5218396633863449","0.4380473792552948","0.605631947517395"
"74000","0.5063546895980835","0.486045241355896","0.526664137840271"
"76000","0.44492897391319275","0.42198705673217773","0.46787089109420776"
"78000","0.4351094365119934","0.3676145672798157","0.5026043057441711"
"80000","0.4246661216020584","0.40608155727386475","0.4432506859302521"
"82000","0.41682159900665283","0.38930392265319824","0.4443392753601074"
"84000","0.3856680542230606","0.37499386072158813","0.3963422477245331"
"86000","0.35233500599861145","0.31594645977020264","0.38872355222702026"
"88000","0.3259906768798828","0.3241637349128723","0.3278176188468933"
"90000","0.3371830880641937","0.33300602436065674","0.3413601517677307"
"92000","0.2998912185430527","0.29398462176322937","0.305797815322876"
"94000","0.32408618927001953","0.3086591064929962","0.33951327204704285"
"96000","0.3130059987306595","0.2986702024936676","0.32734179496765137"
"98000","0.3231660723686218","0.3113471269607544","0.33498501777648926"
"100000","0.304537832736969","0.30115795135498047","0.3079177141189575"
"102000","0.30391526222229004","0.2963228225708008","0.3115077018737793"
"104000","0.2777586877346039","0.2766764163970947","0.27884095907211304"
"106000","0.2685700058937073","0.26638883352279663","0.2707511782646179"
"108000","0.29148566722869873","0.2873275876045227","0.29564374685287476"
"110000","0.2804997116327286","0.26355284452438354","0.2974465787410736"
