"Step","Grouped runs - collection/reward/extrinsic_episode_reward_mean","Grouped runs - collection/reward/extrinsic_episode_reward_mean__MIN","Grouped runs - collection/reward/extrinsic_episode_reward_mean__MAX"
"2000","-0.8999956846237183","-1.199995756149292","-0.5999956130981445"
"4000","-3.29999577999115","-4.199995994567871","-2.3999955654144287"
"6000","-2.699995756149292","-4.199995994567871","-1.199995517730713"
"8000","-2.3999953866004944","-4.199995040893555","-0.5999957323074341"
"10000","-1.4999954402446747","-2.3999953269958496","-0.5999955534934998"
"12000","-1.4999956861138344","-2.999995708465576","0.000004336237907409668"
"14000","-1.4999957084655762","-1.7999956607818604","-1.199995756149292"
"16000","-3.5999956130981445","-4.7999958992004395","-2.3999953269958496"
"18000","-1.499995768070221","-1.79999577999115","-1.199995756149292"
"20000","-3.899995803833008","-5.399995803833008","-2.399995803833008"
"22000","-0.2999954894185066","-0.599995493888855","0.00000451505184173584"
"24000","-1.4999956488609314","-1.79999577999115","-1.199995517730713"
"26000","-2.399995803833008","-4.199995994567871","-0.5999956130981445"
"28000","-3.2999956607818604","-4.199995994567871","-2.3999953269958496"
"30000","-0.8999954462051392","-1.199995517730713","-0.5999953746795654"
"32000","-1.1999955773353577","-1.7999954223632812","-0.5999957323074341"
"34000","-1.1999955475330353","-1.7999954223632812","-0.5999956727027893"
"36000","-2.3999953269958496","-2.3999953269958496","-2.3999953269958496"
"38000","-2.999995708465576","-4.199995994567871","-1.7999954223632812"
"40000","-0.8999956548213959","-1.1999956369400024","-0.5999956727027893"
"42000","-2.9999958276748657","-3.5999958515167236","-2.399995803833008"
"44000","-1.4999952614307404","-2.3999950885772705","-0.5999954342842102"
"46000","-2.999995231628418","-3.5999951362609863","-2.3999953269958496"
"48000","-1.499995768070221","-1.79999577999115","-1.199995756149292"
"50000","-1.799995481967926","-2.3999953269958496","-1.1999956369400024"
"52000","-1.79999577999115","-2.399995803833008","-1.199995756149292"
"54000","-0.8999957337975957","-1.7999956607818604","0.00000419318666899926"
"56000","-0.8999954715370677","-1.7999954223632812","0.000004479289145820076"
"58000","-2.999995470046997","-4.199995517730713","-1.7999954223632812"
"60000","-2.6999953985214233","-2.999994993209839","-2.399995803833008"
"62000","-3.2999953031539917","-4.199995517730713","-2.3999950885772705"
"64000","-3.8999959230422974","-4.199995994567871","-3.5999958515167236"
"66000","-2.9999955892562866","-3.5999953746795654","-2.399995803833008"
"68000","-1.4999956488609314","-2.399995803833008","-0.599995493888855"
"70000","-2.3999953269958496","-2.3999953269958496","-2.3999953269958496"
"72000","-1.499995470046997","-2.3999953269958496","-0.5999956130981445"
"74000","-0.8999954953790166","-1.7999951839447021","0.00000419318666899926"
"76000","-2.099995732307434","-2.999995708465576","-1.199995756149292"
"78000","-1.4999955296516418","-2.3999953269958496","-0.5999957323074341"
"80000","-2.9999957382678986","-5.399995803833008","-0.5999956727027893"
"82000","-2.6999951601028442","-2.999994993209839","-2.3999953269958496"
"84000","-2.0999956727027893","-2.999995708465576","-1.1999956369400024"
"86000","-0.8999958038330078","-1.1999958753585815","-0.5999957323074341"
"88000","-1.1999955475330353","-1.7999954223632812","-0.5999956727027893"
"90000","-2.0999956130981445","-2.399995803833008","-1.7999954223632812"
"92000","-0.8999957144260406","-1.199995756149292","-0.5999956727027893"
"94000","-2.099995732307434","-2.999995708465576","-1.199995756149292"
"96000","-1.799995481967926","-1.79999577999115","-1.7999951839447021"
"98000","-2.0999956130981445","-2.999995708465576","-1.199995517730713"
"100000","-2.999995470046997","-2.999995708465576","-2.999995231628418"
"102000","-2.3999958530068852","-4.7999958992004395","0.00000419318666899926"
"104000","-1.7999953031539917","-1.7999954223632812","-1.7999951839447021"
"106000","-0.8999958336353302","-1.199995994567871","-0.5999956727027893"
"108000","-2.6999955773353577","-4.799995422363281","-0.5999957323074341"
"110000","-2.399995803833008","-4.199995994567871","-0.5999956130981445"
"112000","-0.2999957516790346","-0.5999957323074341","0.0000042289493649150245"
"114000","-2.3999956846237183","-2.999995708465576","-1.7999956607818604"
"116000","-2.3999953269958496","-2.3999953269958496","-2.3999953269958496"
"118000","-1.199995756149292","-1.199995756149292","-1.199995756149292"
"120000","-2.999995231628418","-2.999995470046997","-2.999994993209839"
"122000","-3.299995541572571","-4.799995422363281","-1.7999956607818604"
"124000","-1.7999957203865051","-1.79999577999115","-1.7999956607818604"
"126000","-0.5999957278370402","-1.199995756149292","0.000004300475211493904"
"128000","-2.9999956488609314","-4.199995517730713","-1.79999577999115"
"130000","-2.0999955534934998","-3.5999953746795654","-0.5999957323074341"
"132000","-2.6999958157539368","-3.5999958515167236","-1.79999577999115"
"134000","-4.499995708465576","-4.7999958992004395","-4.199995517730713"
"136000","-1.1999954581260681","-1.7999954223632812","-0.599995493888855"
"138000","-2.3999956846237183","-3.5999958515167236","-1.199995517730713"
"140000","-2.099995493888855","-2.399995803833008","-1.7999951839447021"
"142000","-2.6999956369400024","-2.999995470046997","-2.399995803833008"
"144000","-1.4999954655766032","-2.999995231628418","0.000004300475211493904"
