"Step","Grouped runs - collection/reward/intrinsic_episode_reward_min","Grouped runs - collection/reward/intrinsic_episode_reward_min__MIN","Grouped runs - collection/reward/intrinsic_episode_reward_min__MAX"
"2000","0","0","0"
"4000","-0.11561927199363708","-0.5070839524269104","0.27584540843963623"
"6000","-3.1498864889144897","-4.726470947265625","-1.5733020305633545"
"8000","-0.7086774259805679","-1.7593517303466797","0.3419968783855438"
"10000","-1.4850258231163025","-1.6888096332550049","-1.2812420129776"
"12000","-0.12184358388185501","-0.30615782737731934","0.062470659613609314"
"14000","-3.3097269535064697","-4.362651348114014","-2.256802558898926"
"16000","-0.1660851240158081","-0.9876224994659424","0.6554522514343262"
"18000","-0.8627606630325317","-1.4304317235946655","-0.29508960247039795"
"20000","-0.6320006251335144","-1.5622634887695312","0.29826223850250244"
"22000","0.17031456902623177","0.09531021863222122","0.2453189194202423"
"24000","-0.16742457076907158","-0.23911044001579285","-0.09573870152235031"
"26000","0.03246547281742096","-0.18974897265434265","0.25467991828918457"
"28000","0.6191194653511047","0.263097882270813","0.9751410484313965"
"30000","-0.7280187010765076","-1.1519007682800293","-0.30413663387298584"
"32000","-0.5522207021713257","-0.6471856832504272","-0.4572557210922241"
"34000","-0.5083092153072357","-0.5168272852897644","-0.49979114532470703"
"36000","-0.09614420682191849","-0.10226442664861679","-0.09002398699522018"
"38000","-0.008174628019332886","-0.2874111831188202","0.2710619270801544"
"40000","-0.09461319446563721","-0.8815028667449951","0.6922764778137207"
"42000","-0.4678688868880272","-0.7836544513702393","-0.15208332240581512"
"44000","-0.653817892074585","-1.0280117988586426","-0.27962398529052734"
"46000","-0.0457160621881485","-0.1369854211807251","0.0455532968044281"
"48000","-0.6607579626142979","-1.2538849115371704","-0.06763101369142532"
"50000","-0.46250002831220627","-0.7998974323272705","-0.12510262429714203"
"52000","0.02738640457391739","-0.1311824768781662","0.18595528602600098"
"54000","-0.44521321170032024","-0.8543484210968018","-0.03607800230383873"
"56000","-0.6676765084266663","-0.7660121917724609","-0.5693408250808716"
"58000","-0.087302690371871","-0.11568266898393631","-0.05892271175980568"
"60000","-0.41166001558303833","-0.4738689064979553","-0.34945112466812134"
"62000","-0.21102500706911087","-0.29592758417129517","-0.12612242996692657"
"64000","-0.46147245168685913","-0.6964468955993652","-0.22649800777435303"
"66000","-0.5029880553483963","-0.7142705917358398","-0.29170551896095276"
"68000","-0.48449744284152985","-0.5021024942398071","-0.46689239144325256"
"70000","-0.7188418656587601","-1.1339938640594482","-0.3036898672580719"
"72000","-0.5645623207092285","-0.6095452904701233","-0.5195793509483337"
"74000","-0.6003561615943909","-0.6401107907295227","-0.560601532459259"
"76000","-0.38915687799453735","-0.3989502489566803","-0.3793635070323944"
"78000","-0.30534876696765423","-0.6554725170135498","0.04477498307824135"
"80000","0.08117300271987915","-0.17875289916992188","0.3410989046096802"
"82000","-1.0064539313316345","-1.3680903911590576","-0.6448174715042114"
"84000","-0.6791127026081085","-0.805282711982727","-0.55294269323349"
"86000","-0.5207863450050354","-0.8331489562988281","-0.20842373371124268"
"88000","-0.8797715157270432","-1.5466479063034058","-0.21289512515068054"
"90000","-0.856310248374939","-1.383901834487915","-0.3287186622619629"
"92000","-0.2678672596812248","-0.5818977952003479","0.046163275837898254"
"94000","-0.5705893859267235","-0.9155280590057373","-0.22565071284770966"
"96000","0.1513686254620552","-0.12198902666568756","0.424726277589798"
"98000","0.2997621074318886","-0.04130743443965912","0.6408316493034363"
"100000","-0.4715833142399788","-0.7069563269615173","-0.23621030151844025"
"102000","-1.3178904056549072","-1.6817575693130493","-0.9540232419967651"
"104000","0.03540165722370148","-0.21170347929000854","0.2825067937374115"
"106000","0.07214764505624771","-0.15867631137371063","0.30297160148620605"
"108000","-0.22252561151981354","-0.34229543805122375","-0.10275578498840332"
"110000","-0.43356337398290634","-0.9784276485443115","0.11130090057849884"
"112000","-0.7005937322974205","-1.1824522018432617","-0.21873526275157928"
"114000","-1.196449413895607","-1.9908032417297363","-0.40209558606147766"
"116000","-0.37735411524772644","-0.7072227001190186","-0.047485530376434326"
"118000","0.028588607907295227","-0.2620782256126404","0.31925544142723083"
"120000","-0.22137295827269554","-0.44770389795303345","0.0049579814076423645"
"122000","-1.1819739807397127","-2.31233811378479","-0.05160984769463539"
"124000","-0.11979998648166656","-0.1303839087486267","-0.10921606421470642"
"126000","-0.043168701231479645","-0.07707230746746063","-0.009265094995498657"
"128000","-0.45186884701251984","-0.6411314010620117","-0.26260629296302795"
