"Step","Grouped runs - collection/reward/extrinsic_episode_reward_mean","Grouped runs - collection/reward/extrinsic_episode_reward_mean__MIN","Grouped runs - collection/reward/extrinsic_episode_reward_mean__MAX"
"2000","-0.8999956846237183","-1.199995756149292","-0.5999956130981445"
"4000","-1.7999957203865051","-2.399995803833008","-1.1999956369400024"
"6000","-1.4999955296516418","-2.3999953269958496","-0.5999957323074341"
"8000","-0.5999956741929964","-1.199995756149292","0.000004407763299241196"
"10000","-2.9999955892562866","-2.999995708465576","-2.999995470046997"
"12000","-1.7999955415725708","-2.999995708465576","-0.5999953746795654"
"14000","-1.1999955773353577","-1.7999954223632812","-0.5999957323074341"
"16000","-1.4999956786632538","-2.399995803833008","-0.5999955534934998"
"18000","-0.8999956250190735","-1.199995756149292","-0.599995493888855"
"20000","-0.5999956130981445","-0.5999957323074341","-0.599995493888855"
"22000","-1.4999957084655762","-1.79999577999115","-1.1999956369400024"
"24000","-1.499995768070221","-1.79999577999115","-1.199995756149292"
"26000","-0.899995744228363","-1.199995756149292","-0.5999957323074341"
"28000","-1.7999956011772156","-1.79999577999115","-1.7999954223632812"
"30000","-1.7999953627586365","-2.999994993209839","-0.5999957323074341"
"32000","-1.499995470046997","-1.7999951839447021","-1.199995756149292"
"34000","-1.4999956488609314","-2.399995803833008","-0.599995493888855"
"36000","-2.0999956727027893","-3.5999958515167236","-0.599995493888855"
"38000","-4.499995946884155","-4.7999958992004395","-4.199995994567871"
"40000","-1.4999954998493195","-2.3999953269958496","-0.5999956727027893"
"42000","-3.29999577999115","-3.5999958515167236","-2.999995708465576"
"44000","-1.4999952748416945","-2.999994993209839","0.0000044435264499043114"
"46000","-2.099995791912079","-3.5999958515167236","-0.5999957323074341"
"48000","-1.4999956488609314","-1.7999956607818604","-1.1999956369400024"
"50000","-0.8999957755208925","-1.79999577999115","0.0000042289493649150245"
"52000","-1.7999957203865051","-1.79999577999115","-1.7999956607818604"
"54000","-1.499995664320977","-2.999995708465576","0.000004379823622002732"
"56000","-1.1999955475330353","-1.7999954223632812","-0.5999956727027893"
"58000","-3.2999954223632812","-4.199995517730713","-2.3999953269958496"
"60000","-1.199995756149292","-1.199995756149292","-1.199995756149292"
"62000","-1.4999955594539642","-2.3999955654144287","-0.5999955534934998"
"64000","-2.9999958276748657","-3.5999958515167236","-2.399995803833008"
"66000","-2.399995879829021","-4.7999958992004395","0.0000041395423977519386"
"68000","-1.199995644390583","-2.399995803833008","0.00000451505184173584"
"70000","-1.7999956607818604","-1.7999956607818604","-1.7999956607818604"
"72000","-3.2999956607818604","-3.5999958515167236","-2.999995470046997"
"74000","-2.099995255470276","-2.3999953269958496","-1.7999951839447021"
"76000","-2.999995529651642","-4.799995422363281","-1.1999956369400024"
"78000","-2.999995470046997","-3.5999951362609863","-2.399995803833008"
"80000","-1.7999957203865051","-2.399995803833008","-1.1999956369400024"
"82000","-1.799995481967926","-2.3999953269958496","-1.1999956369400024"
"84000","-2.9999955892562866","-4.199995517730713","-1.7999956607818604"
"86000","-1.1999956965446472","-1.7999956607818604","-0.5999957323074341"
"88000","-0.8999953269958496","-1.1999952793121338","-0.5999953746795654"
"90000","-1.799995481967926","-2.3999953269958496","-1.1999956369400024"
"92000","-1.79999577384433","-3.5999958515167236","0.00000430382806371199"
"94000","-3.899995446205139","-4.199995517730713","-3.5999953746795654"
"96000","-2.399995744228363","-4.199995994567871","-0.599995493888855"
"98000","-2.399995744228363","-3.5999958515167236","-1.1999956369400024"
"100000","-2.399995446205139","-2.999995470046997","-1.7999954223632812"
"102000","-2.0999959163368658","-4.199995994567871","0.00000416189413954271"
"104000","-2.6999958157539368","-3.5999958515167236","-1.79999577999115"
"106000","-2.099995732307434","-2.999995708465576","-1.199995756149292"
"108000","-1.7999954223632812","-1.7999954223632812","-1.7999954223632812"
"110000","-2.399995505809784","-3.5999953746795654","-1.1999956369400024"
"112000","-0.8999957144260406","-1.199995756149292","-0.5999956727027893"
"114000","-2.699995517730713","-3.5999953746795654","-1.7999956607818604"
"116000","-2.3999958634376526","-4.199995994567871","-0.5999957323074341"
"118000","-2.399995505809784","-3.5999953746795654","-1.1999956369400024"
"120000","-4.199995636940002","-4.7999958992004395","-3.5999953746795654"
"122000","-4.199995517730713","-5.399995803833008","-2.999995231628418"
"124000","-0.8999957144260406","-1.199995756149292","-0.5999956727027893"
"126000","-2.6999956369400024","-2.999995470046997","-2.399995803833008"
"128000","-0.899995744228363","-1.199995756149292","-0.5999957323074341"
"130000","-2.9999955892562866","-2.999995708465576","-2.999995470046997"
"132000","-0.8999957397579692","-1.79999577999115","0.000004300475211493904"
"134000","-3.2999956607818604","-3.5999958515167236","-2.999995470046997"
"136000","-3.599995493888855","-5.399995803833008","-1.7999951839447021"
"138000","-2.699995696544647","-4.7999958992004395","-0.599995493888855"
"140000","-2.099995493888855","-2.3999953269958496","-1.7999956607818604"
"142000","-0.8999955952167511","-1.199995756149292","-0.5999954342842102"
"144000","-1.199995495378971","-2.3999953269958496","0.000004336237907409668"
"146000","-4.199995636940002","-4.799995422363281","-3.5999958515167236"
"148000","-2.099995255470276","-2.3999953269958496","-1.7999951839447021"
"150000","-2.099995829164982","-4.199995994567871","0.000004336237907409668"
"152000","-3.2999950647354126","-3.5999951362609863","-2.999994993209839"
"154000","-1.4999954104423523","-2.3999953269958496","-0.599995493888855"
