"Step","Grouped runs - collection/reward/intrinsic_episode_reward_mean","Grouped runs - collection/reward/intrinsic_episode_reward_mean__MIN","Grouped runs - collection/reward/intrinsic_episode_reward_mean__MAX"
"276000","0.1618684083223343","0.1406596302986145","0.18307718634605408"
"278000","0.12320896610617638","0.11492393165826797","0.13149400055408478"
"280000","0.1106606274843216","0.10446272790431976","0.11685852706432343"
"282000","0.1091778464615345","0.09460413455963135","0.12375155836343765"
"284000","0.18335973471403122","0.17197345197200775","0.1947460174560547"
"286000","0.12896129488945007","0.11396640539169312","0.14395618438720703"
"288000","0.11087401583790779","0.10757124423980713","0.11417678743600845"
"290000","0.12250635027885437","0.12135463953018188","0.12365806102752686"
"292000","0.11998094618320465","0.09066265821456909","0.1492992341518402"
"294000","0.11699360236525536","0.11482194811105728","0.11916525661945343"
"296000","0.13659324869513512","0.11749305576086044","0.1556934416294098"
"298000","0.11335163936018944","0.11129732429981232","0.11540595442056656"
"300000","0.0877276286482811","0.08545702695846558","0.08999823033809662"
"302000","0.12319374829530716","0.09250901639461517","0.15387848019599915"
"304000","0.12758029252290726","0.11730848252773285","0.13785210251808167"
"306000","0.10143767297267914","0.09446274489164352","0.10841260105371475"
"308000","0.11034872755408287","0.09471438080072403","0.1259830743074417"
"310000","0.09770281240344048","0.08898217231035233","0.10642345249652863"
"312000","0.13509869575500488","0.10621905326843262","0.16397833824157715"
"314000","0.11250747367739677","0.10153619199991226","0.12347875535488129"
"316000","0.10518980771303177","0.09841364622116089","0.11196596920490265"
"318000","0.10146409273147583","0.09923788160085678","0.10369030386209488"
"320000","0.09021561592817307","0.08831952512264252","0.09211170673370361"
"322000","0.0929960273206234","0.08424007147550583","0.10175198316574097"
"324000","0.096806101500988","0.07967959344387054","0.11393260955810547"
"326000","0.1108885109424591","0.08955022692680359","0.13222679495811462"
"328000","0.08917972445487976","0.0824817568063736","0.09587769210338593"
"330000","0.08604022860527039","0.07137127220630646","0.10070918500423431"
"332000","0.10149987414479256","0.09695325046777725","0.10604649782180786"
"334000","0.08924564346671104","0.07036252319812775","0.10812876373529434"
"336000","0.09888872131705284","0.09229613840579987","0.10548130422830582"
"338000","0.10778600722551346","0.10640082508325577","0.10917118936777115"
"340000","0.09597988799214363","0.0881785973906517","0.10378117859363556"
"342000","0.07826053351163864","0.07418917119503021","0.08233189582824707"
"344000","0.0906694158911705","0.08646632730960846","0.09487250447273254"
"346000","0.07768940553069115","0.07175192981958389","0.0836268812417984"
"348000","0.0906355082988739","0.07636914402246475","0.10490187257528305"
"350000","0.07997988909482956","0.06371317058801651","0.09624660760164261"
"352000","0.09222836419939995","0.08355109393596649","0.1009056344628334"
"354000","0.08051449432969093","0.07353222370147705","0.08749676495790482"
"356000","0.07256489247083664","0.07132047414779663","0.07380931079387665"
"358000","0.0581989586353302","0.05111674219369888","0.06528117507696152"
"360000","0.06883840262889862","0.06429670751094818","0.07338009774684906"
"362000","0.06965489313006401","0.06692684441804886","0.07238294184207916"
"364000","0.0847463570535183","0.08185938745737076","0.08763332664966583"
"366000","0.0651400163769722","0.056811749935150146","0.07346828281879425"
"368000","0.07088728621602058","0.06752102077007294","0.07425355166196823"
"370000","0.071927011013031","0.06738255172967911","0.0764714702963829"
"372000","0.07503969222307205","0.07002232223749161","0.0800570622086525"
"374000","0.06052985414862633","0.0591433160007","0.06191639229655266"
"376000","0.06783964112401009","0.06616534292697906","0.06951393932104111"
"378000","0.07009093090891838","0.06951896101236343","0.07066290080547333"
"380000","0.05860612355172634","0.05738036707043648","0.059831880033016205"
"382000","0.07559473812580109","0.06566473096609116","0.08552474528551102"
"384000","0.06680590286850929","0.05631530284881592","0.07729650288820267"
"386000","0.06900365278124809","0.06826873868703842","0.06973856687545776"
"388000","0.06146005168557167","0.0570407435297966","0.06587935984134674"
"390000","0.06177742965519428","0.05747668817639351","0.06607817113399506"
"392000","0.06256479769945145","0.06084549427032471","0.06428410112857819"
