"Step","Grouped runs - collection/reward/mean_ext_return_100","Grouped runs - collection/reward/mean_ext_return_100__MIN","Grouped runs - collection/reward/mean_ext_return_100__MAX"
"198000","-2.081813773739558","-2.181813798494861","-1.981813748984255"
"200000","-2.0789955908218416","-2.177995618309824","-1.9799955633338595"
"202000","-2.0759955886164696","-2.1779956153295914","-1.973995561903348"
"204000","-2.096995590643028","-2.201995617475359","-1.9919955638106968"
"206000","-2.114995589570144","-2.2379956153295915","-1.9919955638106968"
"208000","-2.1299955889591957","-2.2679956141076945","-1.9919955638106968"
"210000","-2.1149955889591956","-2.249995614584532","-1.9799955633338595"
"212000","-2.1029955892125143","-2.243995618190611","-1.961995560234418"
"214000","-2.1239955888548865","-2.2619956177137737","-1.9859955599959995"
"216000","-2.129995587305166","-2.2619956189058668","-1.997995555704465"
"218000","-2.1299955858895556","-2.2679956179521925","-1.9919955538269187"
"220000","-2.1479955865005036","-2.2619956151209726","-2.0339955578800346"
"222000","-2.135995586217382","-2.2499956150315668","-2.0219955574031974"
"224000","-2.1599955853829167","-2.273995612408962","-2.045995558356872"
"226000","-2.1569955837735915","-2.2679956091903115","-2.045995558356872"
"228000","-2.1629955846080566","-2.2679956079982184","-2.057995561217895"
"230000","-2.1689955890188006","-2.2439956141971016","-2.0939955638404992"
"232000","-2.1749955915370967","-2.273995616581287","-2.0759955664929066"
"234000","-2.195995593563655","-2.291995618488636","-2.0999955686386738"
"236000","-2.1899955936977653","-2.2559956166110897","-2.123995570784441"
"238000","-2.1659955867836267","-2.231995608504858","-2.099995565062395"
"240000","-2.1659955876776964","-2.2199956104122065","-2.111995564943186"
"242000","-2.1479955833861615","-2.2019956085048578","-2.0939955582674656"
"244000","-2.141995583922605","-2.2199956035874764","-2.063995564257734"
"246000","-2.1419955791542336","-2.2319955969117564","-2.051995561396711"
"248000","-2.1419955797502803","-2.2319955969117564","-2.0519955625888042"
"250000","-2.1509955780068433","-2.2199955940507334","-2.0819955619629535"
"252000","-2.1449955770680704","-2.225995594289152","-2.0639955598469895"
"254000","-2.1539955748869124","-2.225995591904966","-2.0819955578688587"
"256000","-2.147995574126953","-2.219995591815559","-2.075995556438347"
"258000","-2.12399557652604","-2.1959955951832217","-2.0519955578688585"
"260000","-2.1389955717576683","-2.213995589938013","-2.0639955535773242"
"262000","-2.1389955699695293","-2.2319955876730364","-2.0459955522660223"
"264000","-2.144995567823762","-2.2319955876730364","-2.0579955479744876"
"266000","-2.1299955648137257","-2.1839955824576283","-2.075995547169823"
"268000","-2.1509955625934527","-2.219995586123314","-2.0819955390635916"
"270000","-2.1539955609245225","-2.2139955846928023","-2.0939955371562426"
"272000","-2.141995561043732","-2.2139955846928023","-2.0699955373946612"
"274000","-2.156995562235825","-2.231995586600151","-2.0819955378714985"
"276000","-2.1359955614013595","-2.1899955873154067","-2.0819955354873128"
"278000","-2.1179955630702896","-2.1779955856464768","-2.057995540494103"
"280000","-2.1089955624146386","-2.1599955831430817","-2.057995541686196"
"282000","-2.1119955619378015","-2.165995584573593","-2.05799553930201"
"284000","-2.120995562891476","-2.1599955831430817","-2.08199554263987"
"286000","-2.129995561460964","-2.1599955843351744","-2.099995538586754"
"288000","-2.138995562310331","-2.1539955850802333","-2.1239955395404286"
"290000","-2.1389955616099767","-2.1479955369178243","-2.1299955863021296"
"292000","-2.1389955610753986","-2.14199558570981","-2.135995536440987"
"294000","-2.1179955620290727","-2.117995584756136","-2.11799553930201"
"296000","-2.1239955610753984","-2.123995583802462","-2.1239955383483355"
"298000","-2.1239955569030737","-2.135995535248894","-2.111995578557253"
"300000","-2.1209955532075853","-2.1359955280963367","-2.105995578318834"
"302000","-2.1299955505328265","-2.1839955287072828","-2.07599557235837"
"304000","-2.114995546658524","-2.1659955244157483","-2.0639955689013005"
"306000","-2.123995545228013","-2.189995520601051","-2.057995569854975"
"308000","-2.1449955502348033","-2.213995526323097","-2.0759955741465093"
"310000","-2.1389955522166564","-2.237995528468864","-2.039995575964449"
"312000","-2.15399555251468","-2.2379955272767713","-2.0699955777525885"
"314000","-2.150995551799424","-2.2499955229852366","-2.051995580613611"
"316000","-2.150995548819192","-2.2319955163095164","-2.069995581328867"
"318000","-2.162995551084168","-2.2259955172631907","-2.099995584905146"
"320000","-2.1419955502497032","-2.2079955213163065","-2.0759955791831"
"322000","-2.1449955545412376","-2.2259955279920267","-2.0639955810904485"
"324000","-2.1719955547200516","-2.2439955269191434","-2.0999955825209597"
"326000","-2.1659955509053543","-2.237995523104446","-2.0939955787062625"
"328000","-2.1719955478804196","-2.255995520243423","-2.087995575517416"
"330000","-2.1599955457495525","-2.2619955192897487","-2.0579955722093564"
"332000","-2.18699554686714","-2.285995521435516","-2.087995572298764"
"334000","-2.171995546569117","-2.285995521435516","-2.0579955717027176"
"336000","-2.156995546569117","-2.2979955266807246","-2.015995566457509"
"338000","-2.150995546330698","-2.303995528111236","-1.9979955645501604"
"340000","-2.1509955481188374","-2.2919955312106777","-2.0099955650269976"
"342000","-2.1719955456750473","-2.315995533952491","-2.027995557397603"
"344000","-2.1779955437527976","-2.315995533952491","-2.0399955535531036"
"346000","-2.147995543156751","-2.291995532998817","-2.003995553314685"
"348000","-2.1539955475674946","-2.315995541105049","-1.9919955540299406"
"350000","-2.1689955477910123","-2.315995541105049","-2.0219955544769754"
"352000","-2.159995553989895","-2.2979955463502573","-2.0219955616295326"
"354000","-2.1689955567317085","-2.309995551595466","-2.0279955618679515"
"356000","-2.1419955562548716","-2.2979955558870007","-1.9859955566227427"
"358000","-2.129995552201756","-2.2919955496881177","-1.967995554715394"
"360000","-2.129995552201756","-2.297995553502815","-1.9619955509006968"
"362000","-2.1179955529170114","-2.2979955558870007","-1.9379955499470225"
"364000","-2.13299555123318","-2.297995553502815","-1.967995548963545"
"366000","-2.138995549370534","-2.2799955533538014","-1.9979955453872662"
"368000","-2.150995549847371","-2.29199555859901","-2.0099955410957318"
"370000","-2.1449955510990684","-2.279995563486591","-2.009995538711546"
"372000","-2.1299955510990687","-2.2559955649171024","-2.0039955372810345"
"374000","-2.1419955515759055","-2.2619955651555212","-2.02199553799629"
"376000","-2.132995548074132","-2.2619955603871493","-2.0039955357611143"
"378000","-2.132995550458318","-2.2499955622944983","-2.0159955386221373"
"380000","-2.1569955459386096","-2.2799955596923835","-2.0339955321848358"
"382000","-2.141995547726749","-2.2499955632686626","-2.0339955321848358"
"384000","-2.156995543554424","-2.2679955568313606","-2.045995530277487"
"386000","-2.1659955436587324","-2.3039955601394193","-2.0279955271780454"
"388000","-2.156995543897151","-2.2979955658614655","-2.0159955219328367"
"390000","-2.1629955423474305","-2.3159955618083496","-2.009995522886511"
"392000","-2.1719955462813365","-2.321995564430954","-2.0219955281317197"
"394000","-2.1569955474734295","-2.297995570629837","-2.0159955243170224"
"396000","-2.150995547235011","-2.2859955701529997","-2.0159955243170224"
"398000","-2.1539955449700345","-2.285995568960907","-2.0219955209791625"
"400000","-2.1509955448508253","-2.2799955746829528","-2.021995515018698"
"402000","-2.165995544552802","-2.2859955725371854","-2.0459955165684187"
"404000","-2.162995541453361","-2.285995567768814","-2.0399955151379072"
"406000","-2.147995541349053","-2.297995568245651","-1.9979955144524546"
"408000","-2.1569955387264486","-2.321995564430954","-1.9919955130219433"
"410000","-2.1449955379664902","-2.303995566129688","-1.9859955098032924"
"412000","-2.150995539262892","-2.3099955687522926","-1.9919955097734918"
"414000","-2.1749955414086592","-2.3339955697059667","-2.015995513111352"
"416000","-2.174995539918543","-2.3219955692291294","-2.027995510607957"
"418000","-2.195995539784433","-2.34599556705356","-2.0459955125153058"
"420000","-2.210995542272926","-2.339995568007234","-2.081995516538618"
"422000","-2.213995541006327","-2.339995565027002","-2.087995516985652"
"424000","-2.18999553886056","-2.315995561689142","-2.063995516031978"
"426000","-2.2019955372512348","-2.321995559543375","-2.081995514959094"
"428000","-2.1959955364167696","-2.3099955602586304","-2.0819955125749083"
"430000","-2.1899955320060256","-2.29199555358291","-2.087995510429141"
"432000","-2.1959955335408448","-2.3039955566525485","-2.087995510429141"
"434000","-2.1929955292493104","-2.3159955547452","-2.069995503753421"
"436000","-2.189995526969433","-2.2979955516457586","-2.081995502293107"
"438000","-2.2049955305457116","-2.3099955497384097","-2.099995511353013"
"440000","-2.2079955294728277","-2.3099955449700382","-2.1059955139756177"
"442000","-2.219995529949665","-2.321995547831061","-2.1179955120682687"
"444000","-2.246995533987879","-2.363995551854373","-2.129995516121385"
"446000","-2.2499955341070885","-2.3759955499470244","-2.123995518267152"
"448000","-2.249995532914995","-2.3759955463707456","-2.123995519459245"
"450000","-2.2409955313652743","-2.351995545417071","-2.1299955173134775"
"452000","-2.237995530173182","-2.3699955451488495","-2.1059955151975145"
"454000","-2.2289955333098757","-2.3519955490380515","-2.1059955175817002"
"456000","-2.2379955344870677","-2.3519955538064234","-2.1239955151677123"
"458000","-2.2619955344721667","-2.3699955557137717","-2.1539955132305613"
"460000","-2.2559955366179336","-2.363995559051632","-2.1479955141842355"
"462000","-2.258995537035166","-2.363995560839771","-2.1539955132305613"
"464000","-2.2319955341741435","-2.32799555940926","-2.135995508939027"
"466000","-2.2529955354705455","-2.351995561555027","-2.1539955093860637"
"468000","-2.2679955402389167","-2.3759955696612587","-2.159995510816575"
"470000","-2.2589955404773354","-2.3519955710917704","-2.165995509862901"
"472000","-2.255995538569987","-2.357995572522282","-2.1539955046176917"
"474000","-2.246995542384684","-2.3579955772906533","-2.135995507478715"
"476000","-2.255995542742312","-2.357995579674839","-2.153995505809785"
"478000","-2.2769955441728236","-2.3639955799132575","-2.189995508432389"
"480000","-2.2799955437108883","-2.3759955803900947","-2.183995507031682"
"482000","-2.2799955443069346","-2.387995579674839","-2.1719955089390304"
"484000","-2.2709955457374464","-2.363995576336979","-2.177995515137914"
"486000","-2.2769955465719116","-2.3699955777674906","-2.183995515376332"
"488000","-2.2739955465570096","-2.3579955772906533","-2.189995515823366"
"490000","-2.261995547674596","-2.327995578482746","-2.1959955168664465"
"492000","-2.249995544306935","-2.303995574131609","-2.1959955144822607"
"494000","-2.246995542399586","-2.2979955727010974","-2.195995512098075"
"496000","-2.222995539434255","-2.249995566770435","-2.195995512098075"
"498000","-2.2049955405816446","-2.237995567485691","-2.171995513677598"
"500000","-2.2049955465421087","-2.213995574876667","-2.195995518207551"
"502000","-2.192995544873179","-2.207995519876481","-2.1779955698698767"
"504000","-2.1989955466017133","-2.213995519518853","-2.183995573684574"
"506000","-2.1809955448806293","-2.189995516553522","-2.1719955732077367"
"508000","-2.147995539829135","-2.1539955136030904","-2.1419955660551797"
"510000","-2.1449955376833687","-2.1839955151230104","-2.1059955602437275"
"512000","-2.1239955345392243","-2.1539955121427785","-2.0939955569356696"
"514000","-2.117995534911754","-2.1719955092817553","-2.063995560541753"
"516000","-2.1089955339580797","-2.1539955073744066","-2.063995560541753"
"518000","-2.084995531231168","-2.111995503351095","-2.0579955591112413"
"520000","-2.075995531469587","-2.099995505258444","-2.05199555768073"
"522000","-2.048995524734262","-2.0639954984635143","-2.0339955510050096"
"524000","-2.0279955221116577","-2.0399954927414683","-2.0159955514818466"
"526000","-2.0189955229461223","-2.02799549584091","-2.009995550051335"
"528000","-2.0339955274015686","-2.069995501652361","-1.9979955531507767"
"530000","-2.0219955305606163","-2.0819955054372574","-1.961995555683975"
"532000","-1.9919955286681694","-2.063995503529909","-1.9199955538064295"
"534000","-1.982995524629955","-2.0579954983145035","-1.9079955509454067"
"536000","-1.9889955260604666","-2.0819955040365494","-1.8959955480843838"
"538000","-1.9739955253601125","-2.063995500937108","-1.883995549783117"
"540000","-1.9589955244660426","-2.0399954987913405","-1.8779955501407448"
"542000","-1.9529955230355314","-2.033995499745015","-1.8719955463260476"
"544000","-1.9379955243617335","-2.0279955001026426","-1.8479955486208246"
"546000","-1.9349955230504317","-2.0219955010563173","-1.847995545044546"
"548000","-1.90799552200735","-2.0099955019205846","-1.8059955420941152"
"550000","-1.8839955159872808","-1.985995499178771","-1.7819955327957906"
"552000","-1.8599955143481544","-1.9499954969435975","-1.769995531752711"
"554000","-1.8569955112487126","-1.9679954964667603","-1.7459955260306652"
"556000","-1.8569955116808456","-1.9559954992383746","-1.7579955241233165"
"558000","-1.8329955109804905","-1.931995496407153","-1.733995525553828"
"560000","-1.8149955087751186","-1.9139954962879437","-1.7159955212622935"
"562000","-1.8029955078363447","-1.9079954948574323","-1.6979955208152568"
"564000","-1.7849955064803384","-1.8779954911917458","-1.6919955217689313"
"566000","-1.8029955098927053","-1.8899954964369545","-1.715995523348456"
"568000","-1.7669955083504352","-1.853995499551297","-1.679995517149573"
"570000","-1.7549955106303128","-1.8299955053031454","-1.6799955159574802"
"572000","-1.7519955082610272","-1.811995502471923","-1.6919955140501315"
"574000","-1.7369955085590503","-1.787995503306388","-1.6859955138117129"
"576000","-1.7309955107048176","-1.7879955068826667","-1.6739955145269687"
"578000","-1.7249955097064391","-1.7579955077469323","-1.6919955116659458"
"580000","-1.7099955103024853","-1.7459955096542807","-1.67399551095069"
"582000","-1.697995510391893","-1.7279955106377565","-1.667995510146029"
"584000","-1.6679955151304604","-1.6979955120980685","-1.637995518162852"
"586000","-1.6529955141916868","-1.6919955123662884","-1.613995516017085"
"588000","-1.6379955141916867","-1.667995512604707","-1.6079955157786663"
"590000","-1.6199955178424714","-1.6499955152571146","-1.5899955204278284"
"592000","-1.610995513908565","-1.6139955102503245","-1.6079955175668055"
"594000","-1.610995517782867","-1.63199551852048","-1.589995517045254"
"596000","-1.6079955158755184","-1.6499955144673641","-1.5659955172836726"
"598000","-1.6139955167099833","-1.6739955130368527","-1.5539955203831142"
"600000","-1.6049955174401407","-1.6739955118447596","-1.5359955230355218"
"602000","-1.6049955168440944","-1.697995511606341","-1.5119955220818475"
"604000","-1.5749955155476938","-1.6679955116063412","-1.4819955194890462"
"606000","-1.5689955171570182","-1.6559955158978754","-1.4819955184161608"
"608000","-1.5419955206289888","-1.6259955194741542","-1.4579955217838232"
"610000","-1.5509955195561043","-1.6499955168217457","-1.4519955222904628"
"612000","-1.550995513550936","-1.655995508715514","-1.4459955183863575"
"614000","-1.508995510585605","-1.6319955053776538","-1.3859955157935564"
