"Step","Grouped runs - collection/reward/intrinsic_episode_reward_max","Grouped runs - collection/reward/intrinsic_episode_reward_max__MIN","Grouped runs - collection/reward/intrinsic_episode_reward_max__MAX"
"2000","30","30","30"
"4000","30","30","30"
"6000","30","30","30"
"8000","30","30","30"
"10000","30","30","30"
"12000","30","30","30"
"14000","30","30","30"
"16000","30","30","30"
"18000","30","30","30"
"20000","30","30","30"
"22000","30","30","30"
"24000","30","30","30"
"26000","30","30","30"
"28000","28.072093963623047","26.144187927246094","30"
"30000","29.156251907348633","28.312503814697266","30"
"32000","24.159029960632324","18.31805992126465","30"
"34000","23.57705307006836","17.15410614013672","30"
"36000","24.218490600585938","18.886547088623047","29.550434112548828"
"38000","19.793188095092773","17.03588104248047","22.550495147705078"
"40000","15.898991107940674","13.458558082580566","18.33942413330078"
"42000","15.030130863189697","11.896056175231934","18.16420555114746"
"44000","13.926899433135986","12.606924057006836","15.246874809265137"
"46000","13.530316829681396","11.947354316711426","15.113279342651367"
"48000","9.907574653625488","9.160957336425781","10.654191970825195"
"50000","9.66770076751709","8.186941146850586","11.148460388183594"
"52000","8.319897174835205","7.250973701477051","9.38882064819336"
"54000","7.078042030334473","6.697098731994629","7.458985328674316"
"56000","7.054803371429443","5.8954010009765625","8.214205741882324"
"58000","7.08724570274353","6.888952732086182","7.285538673400879"
"60000","6.637110948562622","5.640190124511719","7.634031772613525"
"62000","6.154617547988892","5.796186447143555","6.5130486488342285"
"64000","6.300389528274536","5.5393757820129395","7.061403274536133"
"66000","5.678067445755005","5.672485828399658","5.683649063110352"
"68000","5.279012441635132","4.919988632202148","5.638036251068115"
"70000","5.734708309173584","5.524180889129639","5.945235729217529"
"72000","5.010104417800903","4.406466007232666","5.613742828369141"
"74000","4.898894309997559","4.393169403076172","5.404619216918945"
"76000","4.48550820350647","4.257155895233154","4.713860511779785"
"78000","4.347860336303711","3.7727527618408203","4.922967910766602"
"80000","4.132038116455078","3.8582162857055664","4.40585994720459"
"82000","4.219967007637024","3.932011842727661","4.507922172546387"
"84000","3.75890052318573","3.7533867359161377","3.7644143104553223"
"86000","3.59490168094635","3.3882598876953125","3.8015434741973877"
"88000","3.367179751396179","3.2511849403381348","3.4831745624542236"
"90000","3.3621268272399902","3.3030803203582764","3.421173334121704"
"92000","3.0412572622299194","2.995704412460327","3.0868101119995117"
"94000","3.2176568508148193","3.1798901557922363","3.2554235458374023"
"96000","3.2509751319885254","3.040536403656006","3.461413860321045"
"98000","3.150983691215515","3.0256083011627197","3.2763590812683105"
"100000","3.219142198562622","3.160839080810547","3.2774453163146973"
"102000","3.0612194538116455","2.9302186965942383","3.1922202110290527"
"104000","2.9000483751296997","2.804102659225464","2.9959940910339355"
"106000","2.686922788619995","2.646548271179199","2.727297306060791"
"108000","2.739370584487915","2.6421191692352295","2.8366219997406006"
"110000","2.7148889303207397","2.6296451091766357","2.8001327514648438"
"112000","2.6423834562301636","2.6133735179901123","2.671393394470215"
"114000","2.7237675189971924","2.6947181224823","2.752816915512085"
"116000","2.7296195030212402","2.6888327598571777","2.7704062461853027"
"118000","2.609497308731079","2.580012798309326","2.638981819152832"
"120000","2.7113596200942993","2.6601474285125732","2.7625718116760254"
"122000","2.5891703367233276","2.432896375656128","2.7454442977905273"
"124000","2.5373042821884155","2.493757963180542","2.580850601196289"
"126000","2.469534158706665","2.430391311645508","2.5086770057678223"
"128000","2.5099562406539917","2.451211929321289","2.5687005519866943"
"130000","2.517094850540161","2.41544771194458","2.618741989135742"
"132000","2.4862751960754395","2.4463367462158203","2.5262136459350586"
"134000","2.5627061128616333","2.562464475631714","2.5629477500915527"
"136000","2.4323267936706543","2.4158294200897217","2.448824167251587"
"138000","2.4700963497161865","2.4586918354034424","2.4815008640289307"
"140000","2.5006498098373413","2.4812917709350586","2.520007848739624"
"142000","2.4045803546905518","2.342156410217285","2.4670042991638184"
"144000","2.389689803123474","2.211721897125244","2.567657709121704"
"146000","2.493925452232361","2.46504545211792","2.5228054523468018"
"148000","2.4927936792373657","2.4485673904418945","2.537019968032837"
"150000","2.41007137298584","2.331578493118286","2.4885642528533936"
"152000","2.4594253301620483","2.440563678741455","2.4782869815826416"
"154000","2.4169111251831055","2.411263942718506","2.422558307647705"
"156000","2.397127151489258","2.310757875442505","2.4834964275360107"
"158000","2.413384199142456","2.3662009239196777","2.4605674743652344"
"160000","2.4066091775894165","2.362924098968506","2.450294256210327"
"162000","2.4752858877182007","2.3895881175994873","2.560983657836914"
"164000","2.4349122047424316","2.424163818359375","2.4456605911254883"
"166000","2.410733699798584","2.330380916595459","2.491086483001709"
"168000","2.4407795667648315","2.4071731567382812","2.474385976791382"
"170000","2.4237053394317627","2.301109790802002","2.5463008880615234"
"172000","2.4622524976730347","2.424966812133789","2.4995381832122803"
"174000","2.431262254714966","2.3124711513519287","2.550053358078003"
"176000","2.5078389644622803","2.4529380798339844","2.562739849090576"
"178000","2.4963220357894897","2.445082664489746","2.5475614070892334"
"180000","2.4547746181488037","2.40193772315979","2.5076115131378174"
"182000","2.471075654029846","2.3702516555786133","2.571899652481079"
"184000","2.5099903345108032","2.448270797729492","2.5717098712921143"
"186000","2.4458969831466675","2.3389785289764404","2.5528154373168945"
"188000","2.44512677192688","2.328275203704834","2.561978340148926"
"190000","2.406989097595215","2.262404441833496","2.5515737533569336"
"192000","2.4943349361419678","2.4272398948669434","2.561429977416992"
"194000","2.414986252784729","2.3551979064941406","2.4747745990753174"
"196000","2.4436780214309692","2.334808111190796","2.5525479316711426"
"198000","2.460190534591675","2.319547653198242","2.6008334159851074"
"200000","2.439788818359375","2.324957847595215","2.554619789123535"
"202000","2.420336961746216","2.3548336029052734","2.485840320587158"
"204000","2.556344151496887","2.406388521194458","2.7062997817993164"
"206000","2.526468515396118","2.4755377769470215","2.577399253845215"
"208000","2.4821075201034546","2.4485859870910645","2.5156290531158447"
"210000","2.4958192110061646","2.3191704750061035","2.6724679470062256"
"212000","2.4838086366653442","2.370821714401245","2.5967955589294434"
"214000","2.495240330696106","2.436396598815918","2.554084062576294"
"216000","2.5061721801757812","2.346494197845459","2.6658501625061035"
"218000","2.460050344467163","2.36159610748291","2.558504581451416"
"220000","2.5228850841522217","2.438457489013672","2.6073126792907715"
"222000","2.512028455734253","2.4551005363464355","2.5689563751220703"
"224000","2.5587291717529297","2.4648799896240234","2.652578353881836"
"226000","2.5340791940689087","2.448779344558716","2.6193790435791016"
"228000","2.507262945175171","2.4220504760742188","2.592475414276123"
"230000","2.579762816429138","2.5236496925354004","2.635875940322876"
"232000","2.574397087097168","2.474818706512451","2.6739754676818848"
"234000","2.563081383705139","2.4172592163085938","2.7089035511016846"
"236000","2.5846608877182007","2.505323886871338","2.6639978885650635"
"238000","2.5797996520996094","2.4934139251708984","2.6661853790283203"
"240000","2.6881226301193237","2.686253547668457","2.6899917125701904"
"242000","2.636346220970154","2.497304677963257","2.775387763977051"
"244000","2.6889119148254395","2.5962231159210205","2.7816007137298584"
"246000","2.597533106803894","2.524057388305664","2.671008825302124"
"248000","2.5319535732269287","2.444213390350342","2.6196937561035156"
"250000","2.5775915384292603","2.456031084060669","2.6991519927978516"
"252000","2.5822651386260986","2.456355571746826","2.708174705505371"
"254000","2.6506415605545044","2.567727565765381","2.733555555343628"
"256000","2.5370203256607056","2.418621063232422","2.6554195880889893"
"258000","2.680295705795288","2.5268101692199707","2.8337812423706055"
"260000","2.662376642227173","2.5216822624206543","2.8030710220336914"
"262000","2.620444655418396","2.530827760696411","2.710061550140381"
"264000","2.6226333379745483","2.571190595626831","2.6740760803222656"
"266000","2.584595561027527","2.5239388942718506","2.645252227783203"
"268000","2.6629809141159058","2.536550521850586","2.7894113063812256"
"270000","2.6788278818130493","2.6013758182525635","2.756279945373535"
"272000","2.628706932067871","2.5461692810058594","2.711244583129883"
"274000","2.7296714782714844","2.6585426330566406","2.800800323486328"
"276000","2.639833927154541","2.5334973335266113","2.7461705207824707"
"278000","2.653316020965576","2.579305648803711","2.7273263931274414"
"280000","2.655729293823242","2.56382417678833","2.7476344108581543"
"282000","2.6409724950790405","2.557068347930908","2.724876642227173"
"284000","2.6857757568359375","2.566606044769287","2.804945468902588"
"286000","2.6715904474258423","2.588340997695923","2.7548398971557617"
"288000","2.7101470232009888","2.584627151489258","2.8356668949127197"
"290000","2.6958149671554565","2.597712516784668","2.793917417526245"
"292000","2.6929750442504883","2.5774106979370117","2.808539390563965"
"294000","2.6836780309677124","2.609196662902832","2.7581593990325928"
"296000","2.7537612915039062","2.6232171058654785","2.884305477142334"
"298000","2.704724073410034","2.607536554336548","2.8019115924835205"
"300000","2.734186291694641","2.5743463039398193","2.894026279449463"
"302000","2.713014602661133","2.5925726890563965","2.833456516265869"
"304000","2.7135939598083496","2.5696732997894287","2.8575146198272705"
"306000","2.729316473007202","2.5991506576538086","2.8594822883605957"
"308000","2.7464983463287354","2.621969223022461","2.8710274696350098"
"310000","2.699454188346863","2.604766607284546","2.7941417694091797"
"312000","2.7212836742401123","2.6053879261016846","2.83717942237854"
"314000","2.7311551570892334","2.6246416568756104","2.8376686573028564"
"316000","2.742428779602051","2.6306586265563965","2.854198932647705"
"318000","2.749115467071533","2.6880087852478027","2.8102221488952637"
"320000","2.7612721920013428","2.6506943702697754","2.87185001373291"
"322000","2.763216972351074","2.6444201469421387","2.8820137977600098"
"324000","2.754521608352661","2.6266677379608154","2.882375478744507"
"326000","2.7465908527374268","2.6537227630615234","2.83945894241333"
"328000","2.7923765182495117","2.696089029312134","2.8886640071868896"
"330000","2.7665916681289673","2.6638267040252686","2.869356632232666"
"332000","2.8277405500411987","2.800035238265991","2.8554458618164062"
"334000","2.761362671852112","2.679593563079834","2.8431317806243896"
"336000","2.835165858268738","2.7527880668640137","2.917543649673462"
"338000","2.7621636390686035","2.6349785327911377","2.8893487453460693"
"340000","2.829708695411682","2.710684061050415","2.948733329772949"
"342000","2.764678955078125","2.662423610687256","2.866934299468994"
"344000","2.792568802833557","2.676792621612549","2.9083449840545654"
"346000","2.763037085533142","2.6941299438476562","2.831944227218628"
"348000","2.8019756078720093","2.7020840644836426","2.901867151260376"
"350000","2.8061317205429077","2.697166919708252","2.9150965213775635"
"352000","2.8047062158584595","2.716830015182495","2.892582416534424"
"354000","2.801609516143799","2.718820095062256","2.884398937225342"
"356000","2.823747992515564","2.7325191497802734","2.9149768352508545"
"358000","2.817355155944824","2.704301357269287","2.9304089546203613"
"360000","2.8363147974014282","2.7195839881896973","2.953045606613159"
