"Step","Grouped runs - collection/reward/mean_int_return_100","Grouped runs - collection/reward/mean_int_return_100__MIN","Grouped runs - collection/reward/mean_int_return_100__MAX"
"2000","16.5","16.5","16.5"
"4000","16.5","16.5","16.5"
"6000","16.5","16.5","16.5"
"8000","16.5","16.5","16.5"
"10000","16.5","16.5","16.5"
"12000","16.5","16.5","16.5"
"14000","16.5","16.5","16.5"
"16000","16.5","16.5","16.5"
"18000","16.5","16.5","16.5"
"20000","16.5","16.5","16.5"
"22000","16.5","16.5","16.5"
"24000","16.5","16.5","16.5"
"26000","16.5","16.5","16.5"
"28000","16.423551661627634","16.347103323255265","16.5"
"30000","16.39886185328166","16.297723706563314","16.5"
"32000","16.20880863070488","15.91761726140976","16.5"
"34000","16.022746422711542","15.545492845423082","16.5"
"36000","15.869673887888592","15.253282652960884","16.4860651228163"
"38000","15.604137696717913","14.941170391283537","16.26710500215229"
"40000","15.261119139194488","14.5610582113266","15.961180067062378"
"42000","14.923977318264189","14.173751490456718","15.674203146071662"
"44000","14.593952298164368","13.843898578123612","15.344006018205123"
"46000","14.282658048298048","13.531077198360277","15.034238898235818"
"48000","13.911879569292068","13.176592946052551","14.647166192531586"
"50000","13.566739568710329","12.827141647338868","14.306337490081788"
"52000","13.223191499710083","12.489097906992985","13.957285092427181"
"54000","12.876602005075526","12.161558681064182","13.59164532908687"
"56000","12.554813512734004","11.844403624534607","13.265223400933403"
"58000","12.257232966094183","11.565746956858142","12.948718975330221"
"60000","11.97166565656662","11.284234404563904","12.659096908569335"
"62000","11.694615060283292","11.022251121459469","12.366978999107115"
"64000","11.436688888818026","10.772646494209766","12.100731283426285"
"66000","11.185442830577042","10.540816632184116","11.830069028969968"
"68000","10.941840613589568","10.311162051032571","11.572519176146564"
"70000","10.719419145584107","10.103890241895403","11.33494804927281"
"72000","10.498845934867859","9.890303664737278","11.10738820499844"
"74000","10.288110536497992","9.689157331312025","10.88706374168396"
"76000","10.082287917011662","9.495491943861309","10.669083890162016"
"78000","9.885122559009453","9.30527603931916","10.464969078699747"
"80000","9.694801241159439","9.126471012830734","10.263131469488144"
"82000","9.514384836685366","8.95602566439931","10.072744008971423"
"84000","9.337088959557668","8.79230566819509","9.88187225092025"
"86000","9.165658881497938","8.630630293557811","9.700687469438066"
"88000","8.999323091723703","8.475171639160676","9.523474544286728"
"90000","8.840392609437306","8.327075894673666","9.353709324200947"
"92000","8.684499533280082","8.1828824074372","9.186116659122964"
"94000","8.537650802034012","8.046264907147021","9.029036696921004"
"96000","8.39695986857017","7.913360630472501","8.880559106667837"
"98000","8.261028098816775","7.785813591918167","8.736242605715383"
"100000","8.130947667360306","7.664676744937896","8.597218589782715"
"102000","8.004443706250658","7.548957160874909","8.459930251626407"
"104000","7.880996363667341","7.433539051275987","8.328453676058697"
"106000","7.760242863646093","7.321714405743581","8.198771321548605"
"108000","7.644650840097004","7.215071236645734","8.074230443548274"
"110000","7.532810327139767","7.11015969839963","7.955460955879905"
"112000","7.424366445413657","7.008967623114586","7.839765267712729"
"114000","7.32019111148098","6.911993302797017","7.728388920164945"
"116000","7.219929951018301","6.81825682623633","7.621603075800271"
"118000","7.1220672979193225","6.727331901000718","7.516802694837926"
"120000","7.028152748942375","6.640464838345846","7.415840659538905"
"122000","6.936228558665416","6.556125273470019","7.316331843860814"
"124000","6.846884356391046","6.4726348327052206","7.22113388007687"
"126000","6.759917684963772","6.391977989484394","7.1278573804431495"
"128000","6.675704935565591","6.3129449132829905","7.038464957848191"
"130000","6.594370532035828","6.237879287279569","6.950861776792086"
"132000","6.515041130058693","6.164231135989681","6.865851124127706"
"134000","6.438774702264302","6.093254155187465","6.784295249341139"
"136000","6.3637161982410095","6.02337980095078","6.704052595531239"
"138000","6.291314017945441","5.956060936485511","6.626567099405372"
"140000","6.221120486940656","5.890399350438799","6.551841623442513"
"142000","6.152085420951037","5.8265744279807725","6.477596413921303"
"144000","6.084920691119301","5.76544530193011","6.404396080308491"
"146000","6.020464805707539","5.705204661578348","6.335724949836731"
"148000","5.9576807682578625","5.646906601416098","6.268454935099627"
"150000","5.895943843523661","5.589904692967733","6.201982994079589"
"152000","5.836118669886338","5.534176882944609","6.138060456828067"
"154000","5.7775646432653645","5.479628578408972","6.075500708121758"
"156000","5.7204340138496494","5.426937109384781","6.013930918314518"
"158000","5.664825102950953","5.375318963316422","5.954331242585484"
"160000","5.610539671778678","5.324970419704914","5.896108923852443"
"162000","5.558143425870824","5.276587715855351","5.839699135886298"
"164000","5.506694817688407","5.228624297351372","5.784765338025442"
"166000","5.4563929409865874","5.182255809565625","5.73053007240755"
"168000","5.407302801098142","5.136652436994371","5.677953165201914"
"170000","5.35936439668431","5.092601515265072","5.626127278103548"
"172000","5.312813354786052","5.0493972356929335","5.576229473879171"
"174000","5.267125635311521","5.007515892215158","5.526735378407884"
"176000","5.222804333675992","4.966579528017477","5.479029139334505"
"178000","5.17956899859932","4.9265159649795365","5.432622032219104"
"180000","5.137046894099978","4.887081053521898","5.3870127346780565"
"182000","5.0954758813093","4.848802540328476","5.342149222290123"
"184000","5.055069142709607","4.81137641357339","5.298761871845826"
"186000","5.015097407243585","4.774705544594796","5.255489269892375"
"188000","4.976119955803486","4.738964882302792","5.21327502930418"
"190000","4.937694162444064","4.703857007779573","5.171531317108556"
"192000","4.900544200713435","4.66955250625809","5.131535895168781"
"194000","4.863722392578715","4.635411224414393","5.092033560743037"
"196000","4.827743720035164","4.60243065746463","5.0530567826056965"
"198000","4.792656855751769","4.570428925331193","5.014884786172346"
"200000","4.758149827718735","4.538779748678207","4.977519906759262"
"202000","4.606367408633233","4.387322411537171","4.825412405729294"
"204000","4.455416739583015","4.237164490222931","4.6736689889431"
"206000","4.304392143487931","4.0863528883457185","4.522431398630142"
"208000","4.153042156100273","3.9351677942276","4.370916517972947"
"210000","4.00180389881134","3.7849044489860533","4.218703348636627"
"212000","3.850389730334282","3.6341001951694487","4.066679265499115"
"214000","3.69902999818325","3.483110970258713","3.914949026107788"
"216000","3.547883611917496","3.3328532719612123","3.762913951873779"
"218000","3.3964727622270585","3.182038013935089","3.6109075105190276"
"220000","3.2453986847400667","3.031391100883484","3.4594062685966493"
"222000","3.0942046356201174","2.8805726671218874","3.3078366041183473"
"224000","2.9433393293619154","2.73016907453537","3.1565095841884614"
"226000","2.7922534030675887","2.5795625078678133","3.0049442982673646"
"228000","2.6517923885583876","2.450280849933624","2.853303927183151"
"230000","2.5053825533390044","2.308778247833252","2.701986858844757"
"232000","2.3859503638744357","2.2213178706169128","2.550582857131958"
"234000","2.2696177417039873","2.140335141420364","2.39890034198761"
"236000","2.1511039835214616","2.0521372973918917","2.2500706696510315"
"238000","2.057063785195351","1.9735848474502564","2.140542722940445"
"240000","1.9844109719991683","1.9149744629859924","2.0538474810123444"
"242000","1.9171150410175324","1.8659693539142608","1.9682607281208038"
"244000","1.8553311568498612","1.8121391439437866","1.8985231697559357"
"246000","1.7952790367603302","1.760323507785797","1.8302345657348633"
"248000","1.7553658562898635","1.724454642534256","1.786277070045471"
"250000","1.7167711275815964","1.6949748933315276","1.738567361831665"
"252000","1.6845990973711014","1.6694603645801545","1.6997378301620483"
"254000","1.660519821047783","1.6480330765247344","1.6730065655708313"
"256000","1.6357684993743895","1.6297737050056458","1.6417632937431335"
"258000","1.6112983345985412","1.6077588510513305","1.614837818145752"
"260000","1.5889700150489807","1.5860613620281219","1.5918786680698396"
"262000","1.5695371907949447","1.5639448440074921","1.5751295375823975"
"264000","1.5495081573724747","1.5395490777492524","1.559467236995697"
"266000","1.532289281487465","1.5217416131496428","1.542836949825287"
"268000","1.5178869712352752","1.5048807322978974","1.5308932101726531"
"270000","1.501134387254715","1.4868181896209718","1.5154505848884583"
"272000","1.487762852907181","1.4693406188488007","1.5061850869655609"
"274000","1.475679801106453","1.4542464053630828","1.497113196849823"
"276000","1.4655217170715331","1.4421633577346802","1.4888800764083863"
"278000","1.4562205839157105","1.4293790686130523","1.4830620992183685"
"280000","1.4481559932231902","1.419590344429016","1.4767216420173646"
"282000","1.4397050577402115","1.4090908062458039","1.4703193092346192"
"284000","1.433790118098259","1.4026608622074128","1.4649193739891053"
"286000","1.42885184943676","1.3960346400737762","1.4616690587997436"
"288000","1.4253330469131469","1.3912941026687622","1.4593719911575318"
"290000","1.421642101407051","1.386719275712967","1.4565649271011352"
"292000","1.419759863615036","1.3844615054130553","1.4550582218170165"
"294000","1.4168007332086563","1.3808960127830505","1.452705453634262"
"296000","1.4140211594104768","1.3762296068668365","1.4518127119541169"
"298000","1.4114800310134887","1.3724742448329925","1.450485817193985"
"300000","1.4089327347278595","1.3687088334560393","1.4491566359996795"
"302000","1.407039571404457","1.366987578868866","1.4470915639400481"
"304000","1.4061569428443907","1.3649778628349305","1.4473360228538512"
"306000","1.4063983988761901","1.3647298467159272","1.4480669510364532"
"308000","1.4063621282577514","1.364501336812973","1.4482229197025298"
"310000","1.4062635439634323","1.363371070623398","1.4491560173034668"
"312000","1.4065748631954191","1.3628665733337402","1.4502831530570983"
"314000","1.4066806101799012","1.362298424243927","1.4510627961158753"
"316000","1.4067031115293502","1.3614128959178924","1.451993327140808"
"318000","1.4074559330940246","1.3618893647193908","1.4530225014686584"
"320000","1.4077977454662323","1.361918259859085","1.4536772310733794"
"322000","1.40878167450428","1.3630016875267028","1.4545616614818573"
"324000","1.4099707520008087","1.3633685851097106","1.4565729188919068"
"326000","1.4113902378082275","1.3645023453235625","1.4582781302928924"
"328000","1.4130525040626525","1.3652987015247344","1.4608063066005708"
"330000","1.414358875155449","1.366507475376129","1.4622102749347687"
"332000","1.4163590759038924","1.368601882457733","1.4641162693500518"
"334000","1.4174956196546553","1.3693218648433685","1.4656693744659424"
"336000","1.4197261220216753","1.3712119925022126","1.4682402515411377"
"338000","1.4212516832351685","1.37212775349617","1.470375612974167"
"340000","1.423036571741104","1.3730889689922332","1.472984174489975"
"342000","1.425055405497551","1.3749139893054962","1.4751968216896056"
"344000","1.4272174537181854","1.3775029218196868","1.476931985616684"
"346000","1.4285945904254913","1.378361713886261","1.4788274669647217"
"348000","1.4302745509147643","1.379649828672409","1.4808992731571198"
"350000","1.432465700507164","1.3816974806785582","1.4832339203357696"
"352000","1.4343786478042602","1.3831714761257172","1.4855858194828033"
"354000","1.436483622789383","1.3849176156520844","1.4880496299266814"
"356000","1.4387764865159989","1.3871699178218841","1.4903830552101136"
"358000","1.4409808272123337","1.3890140533447266","1.4929476010799407"
"360000","1.4433495336771012","1.390981752872467","1.4957173144817353"
"362000","1.4451366716623306","1.3926570236682891","1.497616319656372"
"364000","1.4478252774477005","1.3943301665782928","1.5013203883171082"
"366000","1.4504949897527695","1.396280620098114","1.504709359407425"
"368000","1.4533213436603547","1.3982765448093415","1.5083661425113677"
"370000","1.4558997797966002","1.4005370509624482","1.5112625086307525"
"372000","1.4583057200908662","1.4027628993988037","1.5138485407829285"
"374000","1.460518187880516","1.4050846004486084","1.5159517753124236"
"376000","1.4627500170469285","1.407265156507492","1.5182348775863648"
"378000","1.4649047255516052","1.40896750330925","1.5208419477939605"
"380000","1.4671451818943022","1.4106920063495636","1.523598357439041"
