"Step","Grouped runs - collection/reward/mean_int_return_100","Grouped runs - collection/reward/mean_int_return_100__MIN","Grouped runs - collection/reward/mean_int_return_100__MAX"
"2000","0","0","0"
"4000","0.07324086595326662","0.012814247980713844","0.1336674839258194"
"6000","-0.023868464554349586","-0.1487229106326898","0.10098598152399063"
"8000","-0.0411678240634501","-0.2287525860592723","0.1464169379323721"
"10000","-0.04711656458675861","-0.13279686793684958","0.03856373876333237"
"12000","-0.04647167166694999","-0.11575408807645242","0.02281074474255244"
"14000","-0.04077701762850796","-0.09388545075697559","0.012331415499959673"
"16000","-0.023820689995773137","-0.09145179414190352","0.043810414150357246"
"18000","-0.02002722738931577","-0.07486607403390938","0.03481161925527784"
"20000","-0.005709223169833421","-0.05849417839199304","0.0470757320523262"
"22000","0.0011326754465699196","-0.044439908625050026","0.046705259518189865"
"24000","-0.0020968992030248046","-0.040073938124502696","0.03588013971845309"
"26000","0.004944757934516439","-0.023515926602368172","0.03340544247140105"
"28000","0.009718152977127048","-0.016722247071032013","0.03615855302528611"
"30000","0.010904097200060883","-0.014481643897791703","0.03628983829791347"
"32000","0.01174334874667693","-0.014400747313629836","0.037887444806983694"
"34000","0.012033823891268933","-0.01226923116208876","0.03633687894462662"
"36000","0.006519406911037449","-0.011694408655684028","0.024733222477758925"
"38000","0.003878736139373168","-0.010552618811887345","0.01831009109063368"
"40000","0.005779918987536803","-0.008324575761798769","0.019884413736872376"
"42000","0.003938141195768755","-0.011989373148285918","0.01986565553982343"
"44000","0.004210786052598533","-0.010408398663540456","0.018829970768737523"
"46000","0.00020429524896747354","-0.015526393722013934","0.01593498421994888"
"48000","-0.0005355738345921663","-0.01665848886477761","0.015587341195593277"
"50000","-0.0018755853781476607","-0.017840233938768504","0.014089063182473183"
"52000","0.001557345300590476","-0.010723875020630658","0.01383856562181161"
"54000","0.0014383726779164533","-0.009015063625863858","0.011891808981696764"
"56000","0.0001820290053728968","-0.009359326654313398","0.009723384665059192"
"58000","0.002070550357216391","-0.009120770569505363","0.013261871283938145"
"60000","0.0011191278075178461","-0.009291183265546957","0.01152943888058265"
"62000","0.0013278284741024817","-0.01000909801692732","0.012664754965132283"
"64000","0.0035982390982098877","-0.007313044334296137","0.014509522530715913"
"66000","0.0037283660900412183","-0.005954046987674453","0.01341077916775689"
"68000","0.005690859581056215","-0.005740940505775678","0.017122659667888108"
"70000","0.006341894933887359","-0.006261480323571179","0.018945270191345898"
"72000","0.0061672424376916345","-0.0065926912454112125","0.018927176120794482"
"74000","0.0063758747246292595","-0.006648650182083853","0.019400399631342373"
"76000","0.0066383524696759285","-0.004752458652211844","0.0180291635915637"
"78000","0.0080010248392892","-0.004191722998467202","0.020193772677045602"
"80000","0.00782988910068525","-0.004459533272893168","0.020119311474263667"
"82000","0.010318087827039473","-0.0024963257431120773","0.023132501397191023"
"84000","0.009879176730811151","-0.0016548423279475952","0.0214131957895699"
"86000","0.009771788107003843","-0.002781159041427769","0.022324735255435456"
"88000","0.009755726928812113","-0.0019101916140326384","0.021421645471656866"
"90000","0.010965069759792338","0.0007539902373941409","0.021176149282190533"
"92000","0.010519468846842243","0.0004543494104164774","0.020584588283268007"
"94000","0.010879546863353871","0.0005920789219399399","0.021167014804767802"
"96000","0.010655363229792176","0.002208079820168981","0.019102646639415372"
"98000","0.010269420129978762","0.0033647782069497873","0.017174062053007737"
"100000","0.010569064620649443","0.004512931245844811","0.016625197995454075"
"102000","0.009056668512879267","0.003969963701606235","0.014143373324152301"
"104000","0.009893151916912757","0.005416745881890305","0.01436955795193521"
"106000","0.010468318653161163","0.0052767992524851886","0.01565983805383714"
"108000","0.009969241881561983","0.005466551707488381","0.014471932055635585"
"110000","0.010020494821947067","0.005883215585808185","0.01415777405808595"
"112000","0.009146072358167398","0.005158570010930167","0.013133574705404629"
"114000","0.008740299811235449","0.00547054966936182","0.012010049953109078"
"116000","0.008315206197259048","0.005582128810005841","0.011048283584512257"
"118000","0.009032777507623688","0.005935270779261018","0.01213028423598636"
"120000","0.009558495829696766","0.006458687345730141","0.012658304313663393"
"122000","0.01099519322904926","0.007766278367107886","0.014224108090990634"
"124000","0.012095433041160446","0.006946688876562421","0.01724417720575847"
"126000","0.012872380201726975","0.007461682669744487","0.018283077733709463"
"128000","0.012997309907404997","0.008462091440378572","0.017532528374431422"
"130000","0.013199096012753077","0.008627263999257524","0.01777092802624863"
"132000","0.012638655107531866","0.007377414002831122","0.01789989621223261"
"134000","0.012652023602450794","0.007085049620468114","0.018218997584433475"
"136000","0.012056746140896234","0.007308400960241938","0.01680509132155053"
"138000","0.010819434988872566","0.0066382151377130895","0.015000654840032044"
"140000","0.010917737206078268","0.007519450209968324","0.01431602420218821"
"142000","0.009988977302449534","0.006631443472120019","0.013346511132779047"
"144000","0.010274208814533066","0.006654775014289448","0.013893642614776682"
"146000","0.00904354589994461","0.005566492713413724","0.012520599086475495"
"148000","0.00924979307377283","0.006258224399848464","0.012241361747697197"
"150000","0.010631865869121005","0.007980817443070313","0.013282914295171698"
"152000","0.010489747759205977","0.008049225616942797","0.012930269901469154"
"154000","0.011106794383286125","0.009037660493805715","0.013175928272766533"
"156000","0.010306811793737162","0.00864026746682775","0.011973356120646574"
"158000","0.010907801921601713","0.008524799907706748","0.013290803935496679"
"160000","0.0112355019124152","0.00884333176036307","0.013627672064467333"
"162000","0.011146994949897671","0.00857932942619053","0.013714660473604813"
"164000","0.012156239436568819","0.009831888680332114","0.014480590192805521"
"166000","0.01193142796607817","0.010203453150777012","0.01365940278137933"
"168000","0.01209994092693835","0.009723960011407533","0.014475921842469168"
"170000","0.012078954310752177","0.00937268415103009","0.014785224470474265"
"172000","0.011818850526165185","0.009014529706355249","0.01462317134597512"
"174000","0.01172792820889508","0.00888412157521883","0.014571734842571333"
"176000","0.011863039571835543","0.009470263609480091","0.014255815534190995"
"178000","0.012171512146073583","0.009290029129649125","0.015052995162498039"
"180000","0.011789774233248965","0.009255608825414027","0.0143239396410839"
"182000","0.011685233891482343","0.00864363436370955","0.014726833419255134"
"184000","0.01134152293446317","0.009728560621189663","0.012954485247736675"
"186000","0.011219592725699116","0.00921247702471221","0.013226708426686024"
"188000","0.010567829449583052","0.008726600391302318","0.012409058507863788"
"190000","0.010811016003533853","0.009287029810825754","0.012335002196241954"
