"Step","Grouped runs - collection/reward/mean_ext_return_100","Grouped runs - collection/reward/mean_ext_return_100__MIN","Grouped runs - collection/reward/mean_ext_return_100__MAX"
"234000","-2.0309955836832545","-2.2859955929815805","-1.7759955743849287"
"236000","-2.024995584934952","-2.291995594412092","-1.7579955754578123"
"238000","-2.0159955821931383","-2.267995592266325","-1.763995572119952"
"240000","-2.02799557939172","-2.2619955920279065","-1.793995566755534"
"242000","-2.021995576769116","-2.243995587736372","-1.7999955658018598"
"244000","-2.0429955826699757","-2.2559955953657664","-1.829995569974185"
"246000","-2.0279955862462544","-2.255995597749952","-1.7999955747425564"
"248000","-2.024995585829022","-2.2439955966770686","-1.805995574980975"
"250000","-2.018995589762928","-2.2439955978691613","-1.7939955816566953"
"252000","-2.0189955897629286","-2.24999559810758","-1.7879955814182766"
"254000","-2.027995586350562","-2.2379955994188823","-1.817995573282242"
"256000","-2.0249955871701264","-2.2439955985546156","-1.805995575785637"
"258000","-2.024995588362219","-2.2439955985546156","-1.8059955781698227"
"260000","-2.015995588198307","-2.2559955918788956","-1.7759955845177182"
"262000","-1.9949955891519813","-2.2259955918788954","-1.763995586425067"
"264000","-1.9709955864846735","-2.1899955917894887","-1.7519955811798582"
"266000","-1.9469955844730158","-2.1659955920279073","-1.7279955769181243"
"268000","-1.9559955836385505","-2.1779955877363726","-1.7339955795407287"
"270000","-1.9499955836981553","-2.1599955888092564","-1.7399955785870542"
"272000","-1.9559955851286668","-2.1599955864250706","-1.751995583832263"
"274000","-1.9799955855906022","-2.1959955821037327","-1.7639955890774717"
"276000","-1.9679955839216723","-2.1779955790042913","-1.7579955888390533"
"278000","-1.955995583519341","-2.1779955766201056","-1.7339955904185762"
"280000","-1.9559955820292247","-2.1959955779314075","-1.715995586127042"
"282000","-1.9439955858588223","-2.1719955784380454","-1.7159955932795992"
"284000","-1.9499955843091015","-2.177995579868557","-1.7219955887496463"
"286000","-1.9679955802559856","-2.201995574861767","-1.7339955856502047"
"288000","-1.9829955805540087","-2.225995575815441","-1.7399955852925768"
"290000","-1.9829955769777303","-2.2319955748617666","-1.7339955790936938"
"292000","-1.9949955747723584","-2.2439955705702324","-1.7459955789744845"
"294000","-1.991995571672917","-2.237995566755535","-1.7459955765902988"
"296000","-1.9979955736994748","-2.2499955660402793","-1.7459955813586703"
"298000","-2.006995575845242","-2.237995565563442","-1.7759955861270418"
"300000","-1.991995577037335","-2.213995564609768","-1.769995589464902"
"302000","-1.988995574042201","-2.1959955603182335","-1.7819955877661686"
"304000","-1.9919955759495496","-2.2019955641329307","-1.7819955877661686"
"306000","-1.9979955729097127","-2.2199955606758612","-1.7759955851435643"
"308000","-2.000995575413108","-2.1959955644905587","-1.8059955863356572"
"310000","-1.99199557505548","-2.20199556592107","-1.78199558418989"
"312000","-2.003995572835206","-2.2079955625832097","-1.7999955830872023"
"314000","-2.018995575219392","-2.23199556592107","-1.8059955845177138"
"316000","-2.027995577365159","-2.237995569735767","-1.8179955849945508"
"318000","-2.033995574027299","-2.2319955683052557","-1.8359955797493421"
"320000","-2.0279955797493447","-2.237995572119953","-1.8179955873787366"
"322000","-2.0039955788701764","-2.189995572745802","-1.8179955849945508"
"324000","-2.000995576962828","-2.1779955734610574","-1.823995580464598"
"326000","-2.0129955727159974","-2.1779955710768717","-1.8479955743551226"
"328000","-2.009995571404695","-2.177995569884779","-1.8419955729246111"
"330000","-2.015995573431253","-2.1779955746531505","-1.8539955722093555"
"332000","-2.0339955747425553","-2.183995576083662","-1.8839955734014484"
"334000","-2.000995574623346","-2.1479955734610576","-1.8539955757856341"
"336000","-2.000995575815439","-2.135995576560499","-1.8659955750703785"
