"Step","Grouped runs - collection/reward/intrinsic_episode_reward_max","Grouped runs - collection/reward/intrinsic_episode_reward_max__MIN","Grouped runs - collection/reward/intrinsic_episode_reward_max__MAX"
"2000","0","0","0"
"4000","0.2591538392007351","0.11237680166959763","0.40593087673187256"
"6000","0.020147688686847687","-0.13202111423015594","0.17231649160385132"
"8000","0.28190909372642636","0.010277302004396915","0.5535408854484558"
"10000","0.18120610422920436","0.001319939037784934","0.3610922694206238"
"12000","0.11426392570137978","0.09811433404684067","0.13041351735591888"
"14000","0.1765160858631134","0.14664366841316223","0.20638850331306458"
"16000","0.21274862438440323","0.023801878094673157","0.4016953706741333"
"18000","0.06969264429062605","0.02451298199594021","0.11487230658531189"
"20000","0.24004728347063065","0.1476685255765915","0.3324260413646698"
"22000","0.14295627176761627","0.13871388137340546","0.1471986621618271"
"24000","0.008341865614056587","-0.013803580775856972","0.030487312003970146"
"26000","0.1954154372215271","0.12554368376731873","0.2652871906757355"
"28000","0.1305374801158905","0.09827978909015656","0.16279517114162445"
"30000","0.11742492765188217","0.06115102767944336","0.17369882762432098"
"32000","0.07051922380924225","0.02429196983575821","0.11674647778272629"
"34000","0.05003829672932625","0.033163636922836304","0.06691295653581619"
"36000","-0.039395032450556755","-0.11372300237417221","0.0349329374730587"
"38000","0.011754137929528952","-0.005100172944366932","0.028608448803424835"
"40000","0.10792912542819977","0.09793104231357574","0.11792720854282379"
"42000","0.038714367896318436","-0.016260899603366852","0.09368963539600372"
"44000","0.07771333307027817","0.06878098100423813","0.0866456851363182"
"46000","-0.005739321932196617","-0.046140726655721664","0.03466208279132843"
"48000","0.0198519152472727","0.0016188392182812095","0.03808499127626419"
"50000","-0.0031266104197129607","-0.006400249898433685","0.00014702905900776386"
"52000","0.1198597140610218","0.03306572884321213","0.20665369927883148"
"54000","0.058251043781638145","0.05438602343201637","0.06211606413125992"
"56000","0.003438660700339824","0.0019491316052153707","0.004928189795464277"
"58000","0.11628283746540546","0.05365574732422829","0.17890992760658264"
"60000","-0.00011399248614907265","-0.008030449040234089","0.007802464067935944"
"62000","0.045722074806690216","-0.011757642030715942","0.10320179164409637"
"64000","0.12910602986812592","0.11716946959495544","0.1410425901412964"
"66000","0.06362340599298477","0.04889094829559326","0.07835586369037628"
"68000","0.15671881288290024","0.039981380105018616","0.27345624566078186"
"70000","0.08847644925117493","0.024773046374320984","0.15217985212802887"
