"Step","Grouped runs - collection/reward/mean_total_return_100","Grouped runs - collection/reward/mean_total_return_100__MIN","Grouped runs - collection/reward/mean_total_return_100__MAX"
"2000","12.511626720428467","11.833690643310547","13.189562797546387"
"4000","9.831862330436707","9.201597929000854","10.462126731872559"
"6000","9.036592245101929","8.612042427062988","9.46114206314087"
"8000","8.994238674640656","8.579684495925903","9.408792853355408"
"10000","8.848673152923585","8.129534053802491","9.567812252044678"
"12000","8.099145452181498","7.133397261301677","9.06489364306132"
"14000","7.745689323970249","6.77533483505249","8.716043812888008"
"16000","7.3174983859062195","6.57340145111084","8.0615953207016"
"18000","7.0774863825904","6.178886890411377","7.9760858747694225"
"20000","6.679418849945069","5.541687440872193","7.817150259017945"
"22000","6.658520351756703","5.494363568045876","7.822677135467529"
"24000","6.551164368788402","5.429988662401835","7.672340075174968"
"26000","6.362239140730638","5.261452454787034","7.463025826674241"
"28000","6.2496144601276935","5.21697119304112","7.282257727214268"
"30000","6.09660975933075","5.052932151158651","7.140287367502848"
"32000","5.906135033816099","4.787874601781368","7.02439546585083"
"34000","5.540025437579436","4.418790165115805","6.661260710043066"
"36000","5.358884369333586","4.207001828485065","6.510766910182105"
"38000","5.229636288002918","4.067552701423042","6.391719874582793"
"40000","5.1259947791695595","4.070843371748924","6.181146186590195"
"42000","4.98629620103609","3.934978436856043","6.037613965216137"
"44000","4.890414391051639","3.8579286418177863","5.922900140285492"
"46000","4.7744705456754435","3.836255879505821","5.712685211845066"
"48000","4.637389392902454","3.7733818367123604","5.501396949092547"
"50000","4.454182467758656","3.63454859495163","5.2738163405656815"
"52000","4.353000496729062","3.5828888576764326","5.123112135781692"
"54000","4.214294867659056","3.5164210950886763","4.912168640229437"
"56000","4.083218548180802","3.4546061136892865","4.711830982672317"
"58000","3.970606833953282","3.416800685997667","4.524412981908897"
"60000","3.8954761974513534","3.3578465918699902","4.433105803032716"
"62000","3.8395664896215163","3.3470591556641365","4.332073823578896"
"64000","3.7719741065520793","3.30725128762424","4.236696925479919"
"66000","3.6414017805998977","3.1872626741727195","4.0955408870270755"
"68000","3.543948783100966","3.0925996447091593","3.995297921492773"
"70000","3.392509058064648","2.950153269405876","3.8348648467234203"
"72000","3.3000656262350576","2.9093403852441244","3.6907908672259913"
"74000","3.2140617920589207","2.8313259559406623","3.5967976281771787"
"76000","3.0822746549046744","2.7584520725925503","3.406097237216799"
"78000","2.9763221092378864","2.6316451497662525","3.3209990687095203"
"80000","2.881006701407023","2.572506988653913","3.1895064141601326"
"82000","2.766828518201847","2.4729587921373","3.0606982442663937"
"84000","2.660596274305135","2.398617861393307","2.922574687216963"
"86000","2.566860621860034","2.307722569075088","2.82599867464498"
"88000","2.4957746937235985","2.234351537994702","2.7571978494524956"
"90000","2.442437433803247","2.181348507147696","2.703526360458798"
"92000","2.358346459273573","2.110781055956107","2.6059118625910385"
"94000","2.2805800551469337","2.017401277265967","2.5437588330279004"
"96000","2.2274709172585667","1.9837614209779229","2.471180413539211"
"98000","2.1512479541291083","1.8905300910451583","2.4119658172130585"
"100000","2.097984182480723","1.817833930142224","2.3781344348192217"
"102000","2.062533493482453","1.7833372098485045","2.3417297771164014"
"104000","1.9952918810304254","1.722465338722731","2.26811842333812"
"106000","1.9590053620730647","1.6965795430302058","2.221431181115924"
"108000","1.8909773788483881","1.6293487119384937","2.1526060457582825"
"110000","1.8116141650317745","1.5731389361010357","2.050089393962513"
"112000","1.7832194173409204","1.5626120344802206","2.00382680020162"
"114000","1.7368017085256022","1.5508559357636331","1.9227474812875713"
"116000","1.706409862891225","1.5134657478473823","1.8993539779350674"
"118000","1.6738095618626576","1.4785594739083012","1.8690596498170142"
"120000","1.6263966308751454","1.4143339515663684","1.8384593101839224"
"122000","1.582005350728382","1.3830229626266195","1.7809877388301443"
"124000","1.5410056791208202","1.3508774634270417","1.731133894814599"
"126000","1.5027002421843392","1.3396642790841204","1.6657362052845577"
"128000","1.4686978904501302","1.299209536606213","1.6381862442940474"
"130000","1.4224373072815628","1.252071138156148","1.5928034764069778"
"132000","1.3734781595765417","1.19644802591453","1.5505082932385532"
"134000","1.328896908437027","1.1310394411600793","1.5267543757139748"
"136000","1.282736780710847","1.0721741350203313","1.4932994264013626"
"138000","1.254032148655666","1.04583991057091","1.4622243867404219"
"140000","1.2164782667133425","1.0217885916520442","1.4111679417746408"
"142000","1.1852509579162154","0.9977607085618755","1.3727412072705552"
"144000","1.1613193529321708","0.9642524169499261","1.3583862889144156"
"146000","1.111994015269798","0.9321635419324245","1.2918244886071715"
"148000","1.0848053531041622","0.9121475063415395","1.2574631998667847"
"150000","1.0415612821653486","0.8986785222838323","1.184444042046865"
"152000","0.9878845149038458","0.8538444483113524","1.121924581496339"
"154000","0.9732388808428274","0.8328162294074699","1.1136615322781849"
"156000","0.9023715663486376","0.7588521580044658","1.0458909746928093"
"158000","0.8553916216721829","0.724260742316329","0.9865225010280367"
"160000","0.8412073689396493","0.7117202816298231","0.9706944562494755"
"162000","0.8134907361602894","0.6919443325633988","0.93503713975718"
"164000","0.8035196213892138","0.6874637452703787","0.919575497508049"
"166000","0.7763358705441457","0.6687770006302969","0.8838947404579944"
"168000","0.767284316576219","0.6583763419295705","0.8761922912228675"
"170000","0.748830789930242","0.635575329709579","0.8620862501509049"
"172000","0.7162094687025041","0.6108679093723727","0.8215510280326356"
"174000","0.7008550952285015","0.6059662615559225","0.7957439289010805"
"176000","0.6869326613906941","0.5970143233637579","0.7768509994176301"
"178000","0.6629069786456026","0.5674664322705416","0.7583475250206636"
"180000","0.6128135599092477","0.5122512835388382","0.7133758362796572"
"182000","0.5669407462087143","0.4709269494268593","0.6629545429905692"
"184000","0.5408035689134799","0.45507087443104904","0.6265362633959107"
"186000","0.5312137074908743","0.451928341560947","0.6104990734208015"
"188000","0.5154227316280471","0.436883080176058","0.5939623830800361"
"190000","0.49334483773104454","0.4155333754067358","0.5711563000553532"
"192000","0.4867121793843884","0.41115146643520956","0.5622728923335671"
"194000","0.4751411887682667","0.4100410073477122","0.5402413701888212"
"196000","0.4377073720905321","0.38088488047562385","0.49452986370544044"
"198000","0.4114609820570684","0.36112724727189","0.46179471684224677"
"200000","0.39859170608688144","0.3499084015283734","0.44727501064538955"
"202000","0.26698064722586423","0.20907688931562007","0.3248844051361084"
"204000","0.1860290140705183","0.12822793141938746","0.24383009672164918"
"206000","0.08430874415207654","0.05210340396501124","0.11651408433914184"
"208000","-0.021551587502472103","-0.04547174437902868","0.0023685693740844727"
"210000","-0.12572234265040605","-0.12795650959014893","-0.1234881757106632"
"212000","-0.18536086983513086","-0.22132473707199096","-0.14939700259827077"
"214000","-0.26053269691299646","-0.29803006649017333","-0.2230353273358196"
"216000","-0.32576453573536124","-0.36106234073638915","-0.2904667307343334"
"218000","-0.3929147226316855","-0.4555011081695557","-0.3303283370938152"
"220000","-0.42960342101287097","-0.5283929812908172","-0.3308138607349247"
"222000","-0.501222872058861","-0.6117553460597992","-0.3906903980579227"
"224000","-0.5766036295099184","-0.6822826957702637","-0.4709245632495731"
"226000","-0.6242025931878015","-0.7362215429544449","-0.5121836434211582"
"228000","-0.6909983035130427","-0.8020239478349686","-0.5799726591911167"
"230000","-0.7381142121879384","-0.8525778879970312","-0.6236505363788456"
"232000","-0.7871499269036577","-0.9094699644297362","-0.6648298893775791"
"234000","-0.8028488771943376","-0.9337462472170591","-0.671951507171616"
"236000","-0.8479294373420998","-1.0075219582766295","-0.6883369164075702"
