"Step","Grouped runs - collection/reward/intrinsic_episode_reward_mean","Grouped runs - collection/reward/intrinsic_episode_reward_mean__MIN","Grouped runs - collection/reward/intrinsic_episode_reward_mean__MAX"
"2000","16.5","16.5","16.5"
"4000","16.5","16.5","16.5"
"6000","16.5","16.5","16.5"
"8000","16.5","16.5","16.5"
"10000","16.5","16.5","16.5"
"12000","16.5","16.5","16.5"
"14000","16.5","16.5","16.5"
"16000","16.5","16.5","16.5"
"18000","16.5","16.5","16.5"
"20000","16.5","16.5","16.5"
"22000","16.5","16.5","16.5"
"24000","16.5","16.5","16.5"
"26000","16.5","16.5","16.5"
"28000","15.429723262786865","14.35944652557373","16.5"
"30000","16.05320453643799","15.606409072875977","16.5"
"32000","13.358010292053223","10.216020584106445","16.5"
"34000","13.045751094818115","9.59150218963623","16.5"
"36000","13.267440795898438","10.285709381103516","16.24917221069336"
"38000","10.824486255645752","9.323149681091309","12.325822830200195"
"40000","8.74376654624939","7.338926792144775","10.148606300354004"
"42000","8.181140899658203","6.427617073059082","9.934664726257324"
"44000","7.663426876068115","6.916987419128418","8.409866333007812"
"46000","7.434184551239014","6.6490068435668945","8.219362258911133"
"48000","5.383974552154541","5.0234551429748535","5.7444939613342285"
"50000","5.283379554748535","4.440310478210449","6.126448631286621"
"52000","4.6344897747039795","4.038004398345947","5.230975151062012"
"54000","3.8652751445770264","3.645538806915283","4.0850114822387695"
"56000","3.8665242195129395","3.281217098236084","4.451831340789795"
"58000","3.924977660179138","3.7633602619171143","4.086595058441162"
"60000","3.690213680267334","3.120370388031006","4.260056972503662"
"62000","3.3830971717834473","3.162752628326416","3.6034417152404785"
"64000","3.4409775733947754","3.034903049468994","3.8470520973205566"
"66000","3.1455689668655396","3.1222610473632812","3.168876886367798"
"68000","2.9029674530029297","2.732560873031616","3.073374032974243"
"70000","3.1570892333984375","3.0566487312316895","3.2575297355651855"
"72000","2.7787835597991943","2.414773464202881","3.142793655395508"
"74000","2.7016361951828003","2.4478893280029297","2.955383062362671"
"76000","2.466850996017456","2.3298726081848145","2.6038293838500977"
"78000","2.392838954925537","2.0770716667175293","2.708606243133545"
"80000","2.27226984500885","2.1530749797821045","2.3914647102355957"
"82000","2.297728657722473","2.138211727142334","2.4572455883026123"
"84000","2.0679579973220825","2.0561301708221436","2.0797858238220215"
"86000","1.9655956029891968","1.8402645587921143","2.0909266471862793"
"88000","1.8468841314315796","1.7904495000839233","1.9033187627792358"
"90000","1.847451388835907","1.8108631372451782","1.8840396404266357"
"92000","1.6693111062049866","1.6444467306137085","1.6941754817962646"
"94000","1.7826091647148132","1.7618598937988281","1.8033584356307983"
"96000","1.7844859957695007","1.6668596267700195","1.902112364768982"
"98000","1.7363031506538391","1.6635557413101196","1.8090505599975586"
"100000","1.7570065259933472","1.728971242904663","1.7850418090820312"
"102000","1.67924565076828","1.5955133438110352","1.762977957725525"
"104000","1.5851818919181824","1.547215461730957","1.6231483221054077"
"106000","1.4810608625411987","1.4552888870239258","1.5068328380584717"
"108000","1.5182735919952393","1.4735639095306396","1.5629832744598389"
"110000","1.4934226274490356","1.4449366331100464","1.541908621788025"
"112000","1.4599529504776","1.4434034824371338","1.4765024185180664"
"114000","1.4863724112510681","1.4814313650131226","1.4913134574890137"
"116000","1.5050438046455383","1.4752776622772217","1.534809947013855"
"118000","1.4460334181785583","1.4383805990219116","1.453686237335205"
"120000","1.4871943593025208","1.4590805768966675","1.515308141708374"
"122000","1.420777142047882","1.345802903175354","1.4957513809204102"
"124000","1.396888017654419","1.3797179460525513","1.4140580892562866"
"126000","1.3679840564727783","1.3447144031524658","1.3912537097930908"
"128000","1.3703017234802246","1.3338611125946045","1.4067423343658447"
"130000","1.3889687061309814","1.344258189201355","1.433679223060608"
"132000","1.3586300015449524","1.3401587009429932","1.3771013021469116"
"134000","1.4051904678344727","1.4016075134277344","1.408773422241211"
"136000","1.33479642868042","1.3277947902679443","1.3417980670928955"
"138000","1.3679657578468323","1.3575533628463745","1.37837815284729"
"140000","1.3777668476104736","1.3597499132156372","1.39578378200531"
"142000","1.3196308016777039","1.2804317474365234","1.3588298559188843"
"144000","1.3162248730659485","1.2071723937988281","1.4252773523330688"
"146000","1.379641056060791","1.3678785562515259","1.3914035558700562"
"148000","1.3744460344314575","1.3577438592910767","1.3911482095718384"
"150000","1.327411413192749","1.2830593585968018","1.3717634677886963"
"152000","1.3492306470870972","1.3438701629638672","1.3545911312103271"
"154000","1.3274586200714111","1.3209598064422607","1.3339574337005615"
"156000","1.321375548839569","1.2730571031570435","1.3696939945220947"
"158000","1.3273300528526306","1.3055565357208252","1.349103569984436"
"160000","1.3219906091690063","1.2965457439422607","1.347435474395752"
"162000","1.3664437532424927","1.3269160985946655","1.4059714078903198"
"164000","1.3393575549125671","1.3351277112960815","1.3435873985290527"
"166000","1.331639051437378","1.2832382917404175","1.3800398111343384"
"168000","1.3328211903572083","1.3140698671340942","1.3515725135803223"
"170000","1.3325384259223938","1.2727527618408203","1.3923240900039673"
"172000","1.355974793434143","1.334916114807129","1.3770334720611572"
"174000","1.3379817605018616","1.2702431678771973","1.4057203531265259"
"176000","1.3668510913848877","1.3285863399505615","1.4051158428192139"
"178000","1.3748595118522644","1.3487966060638428","1.400922417640686"
"180000","1.3525795936584473","1.3277852535247803","1.3773739337921143"
"182000","1.3540847301483154","1.3044331073760986","1.4037363529205322"
"184000","1.3780559301376343","1.350512981414795","1.4055988788604736"
"186000","1.3376977443695068","1.2744098901748657","1.400985598564148"
"188000","1.351216971874237","1.2873506546020508","1.4150832891464233"
"190000","1.3256695866584778","1.2476223707199097","1.403716802597046"
"192000","1.371297836303711","1.3319708108901978","1.4106248617172241"
"194000","1.3288288116455078","1.299809455871582","1.3578481674194336"
"196000","1.3378124833106995","1.2723093032836914","1.4033156633377075"
"198000","1.3541441559791565","1.2740291357040405","1.4342591762542725"
"200000","1.3419540524482727","1.2783968448638916","1.4055112600326538"
"202000","1.3217580914497375","1.2892498970031738","1.3542662858963013"
"204000","1.4049330949783325","1.3256583213806152","1.4842078685760498"
"206000","1.3975403904914856","1.3762409687042236","1.4188398122787476"
"208000","1.3650012612342834","1.3485119342803955","1.3814905881881714"
"210000","1.37617427110672","1.278683066368103","1.473665475845337"
"212000","1.358583152294159","1.2975916862487793","1.4195746183395386"
"214000","1.3640267848968506","1.3269760608673096","1.4010775089263916"
"216000","1.38536137342453","1.296492576599121","1.474230170249939"
"218000","1.3589150309562683","1.2993558645248413","1.4184741973876953"
"220000","1.3925922513008118","1.349875807762146","1.4353086948394775"
"222000","1.380595088005066","1.3430335521697998","1.418156623840332"
"224000","1.41346937417984","1.3672980070114136","1.4596407413482666"
"226000","1.3914073705673218","1.3434714078903198","1.4393433332443237"
"228000","1.3836218118667603","1.3359628915786743","1.4312807321548462"
"230000","1.4122210144996643","1.3682931661605835","1.4561488628387451"
"232000","1.4147913455963135","1.3595998287200928","1.4699828624725342"
"234000","1.412488877773285","1.3317484855651855","1.4932292699813843"
"236000","1.416064977645874","1.3662049770355225","1.4659249782562256"
"238000","1.420466423034668","1.3730281591415405","1.4679046869277954"
"240000","1.4784852266311646","1.4778883457183838","1.4790821075439453"
"242000","1.4515478014945984","1.3759894371032715","1.5271061658859253"
"244000","1.4850384593009949","1.436110496520996","1.5339664220809937"
"246000","1.4289725422859192","1.390501856803894","1.4674432277679443"
"248000","1.3926565051078796","1.3487443923950195","1.4365686178207397"
"250000","1.423906683921814","1.3554778099060059","1.492335557937622"
"252000","1.41728675365448","1.3480219841003418","1.4865515232086182"
"254000","1.4573475122451782","1.4118850231170654","1.502810001373291"
"256000","1.3913920521736145","1.3275041580200195","1.4552799463272095"
"258000","1.4779611825942993","1.394047498703003","1.5618748664855957"
"260000","1.4573817253112793","1.3824113607406616","1.532352089881897"
"262000","1.4398147463798523","1.3917899131774902","1.4878395795822144"
"264000","1.4380742311477661","1.407475471496582","1.4686729907989502"
"266000","1.423681378364563","1.3881304264068604","1.4592323303222656"
"268000","1.462736427783966","1.3872859477996826","1.5381869077682495"
"270000","1.4818308353424072","1.4512754678726196","1.5123862028121948"
"272000","1.4416301250457764","1.3950365781784058","1.488223671913147"
"274000","1.4933310151100159","1.4459617137908936","1.5407003164291382"
"276000","1.4510425925254822","1.3955246210098267","1.5065605640411377"
"278000","1.4627256393432617","1.4301773309707642","1.4952739477157593"
"280000","1.465810775756836","1.4125922918319702","1.5190292596817017"
"282000","1.452635109424591","1.4072917699813843","1.4979784488677979"
"284000","1.476464033126831","1.4131357669830322","1.5397922992706299"
"286000","1.4717687368392944","1.4283044338226318","1.515233039855957"
"288000","1.495003879070282","1.429265022277832","1.560742735862732"
"290000","1.4783568382263184","1.426556944847107","1.5301567316055298"
"292000","1.481087327003479","1.4186697006225586","1.5435049533843994"
"294000","1.4866961240768433","1.44680917263031","1.5265830755233765"
"296000","1.506528615951538","1.435471773147583","1.5775854587554932"
"298000","1.4821903109550476","1.4335143566131592","1.530866265296936"
"300000","1.50227689743042","1.4085006713867188","1.596053123474121"
"302000","1.4899293184280396","1.423387885093689","1.5564707517623901"
"304000","1.49691903591156","1.422176718711853","1.571661353111267"
"306000","1.5052064657211304","1.4304872751235962","1.5799256563186646"
"308000","1.5146465301513672","1.4507129192352295","1.5785801410675049"
"310000","1.4835641980171204","1.4288820028305054","1.5382463932037354"
"312000","1.4910848736763","1.4260526895523071","1.556117057800293"
"314000","1.4969471096992493","1.4344985485076904","1.559395670890808"
"316000","1.507293939590454","1.4462571144104004","1.5683307647705078"
"318000","1.521315574645996","1.486027479171753","1.5566036701202393"
"320000","1.521375596523285","1.4619700908660889","1.580781102180481"
"322000","1.5191700458526611","1.4541456699371338","1.5841944217681885"
"324000","1.5157957673072815","1.4507478475570679","1.5808436870574951"
"326000","1.5099326372146606","1.4580904245376587","1.5617748498916626"
"328000","1.5365283489227295","1.4863779544830322","1.5866787433624268"
"330000","1.519605815410614","1.4651355743408203","1.5740760564804077"
"332000","1.5586500763893127","1.5495994091033936","1.567700743675232"
"334000","1.5188448429107666","1.473605751991272","1.5640839338302612"
"336000","1.5578466653823853","1.5168075561523438","1.5988857746124268"
"338000","1.520521879196167","1.4491294622421265","1.5919142961502075"
"340000","1.5562556982040405","1.4919053316116333","1.6206060647964478"
"342000","1.5215141773223877","1.4629337787628174","1.580094575881958"
"344000","1.5324296951293945","1.4660656452178955","1.5987937450408936"
"346000","1.5173547267913818","1.4772827625274658","1.5574266910552979"
"348000","1.5424420833587646","1.4865553379058838","1.5983288288116455"
"350000","1.5465263724327087","1.487824559211731","1.6052281856536865"
"352000","1.5405253767967224","1.4912697076797485","1.5897810459136963"
"354000","1.5379561185836792","1.4955737590789795","1.580338478088379"
"356000","1.5506619215011597","1.498287320137024","1.6030365228652954"
"358000","1.5477641224861145","1.489970088005066","1.605558156967163"
"360000","1.558861255645752","1.4933156967163086","1.6244068145751953"
"362000","1.545157551765442","1.4944431781768799","1.595871925354004"
"364000","1.6082181334495544","1.5024420022964478","1.7139942646026611"
"366000","1.598610281944275","1.4782836437225342","1.7189369201660156"
"368000","1.6154565811157227","1.513662338256836","1.7172508239746094"
