777,1556000.0
778,1558000.0
779,1560000.0
780,1562000.0
781,1564000.0
782,1566000.0
783,1568000.0
784,1570000.0
785,1572000.0
786,1574000.0
787,1576000.0
788,1578000.0
789,1580000.0
790,1582000.0
791,1584000.0
792,1586000.0
793,1588000.0
794,1590000.0
795,1592000.0
796,1594000.0
797,1596000.0
798,1598000.0
799,1600000.0
800,1602000.0
801,1604000.0
802,1606000.0
803,1608000.0
804,1610000.0
805,1612000.0
806,1614000.0
807,1616000.0
808,1618000.0
809,1620000.0
810,1622000.0
811,1624000.0
812,1626000.0
813,1628000.0
814,1630000.0
815,1632000.0
816,1634000.0
817,1636000.0
818,1638000.0
819,1640000.0
820,1642000.0
821,1644000.0
822,1646000.0
823,1648000.0
824,1650000.0
825,1652000.0
826,1654000.0
827,1656000.0
828,1658000.0
829,1660000.0
830,1662000.0
831,1664000.0
832,1666000.0
833,1668000.0
834,1670000.0
835,1672000.0
836,1674000.0
837,1676000.0
838,1678000.0
839,1680000.0
840,1682000.0
841,1684000.0
842,1686000.0
843,1688000.0
844,1690000.0
845,1692000.0
846,1694000.0
847,1696000.0
848,1698000.0
849,1700000.0
850,1702000.0
851,1704000.0
852,1706000.0
853,1708000.0
854,1710000.0
855,1712000.0
856,1714000.0
857,1716000.0
858,1718000.0
859,1720000.0
860,1722000.0
861,1724000.0
862,1726000.0
863,1728000.0
864,1730000.0
865,1732000.0
866,1734000.0
867,1736000.0
868,1738000.0
869,1740000.0
870,1742000.0
871,1744000.0
872,1746000.0
873,1748000.0
874,1750000.0
875,1752000.0
876,1754000.0
877,1756000.0
878,1758000.0
879,1760000.0
880,1762000.0
881,1764000.0
882,1766000.0
883,1768000.0
884,1770000.0
885,1772000.0
886,1774000.0
887,1776000.0
888,1778000.0
889,1780000.0
890,1782000.0
891,1784000.0
892,1786000.0
893,1788000.0
894,1790000.0
895,1792000.0
896,1794000.0
897,1796000.0
898,1798000.0
899,1800000.0
900,1802000.0
901,1804000.0
902,1806000.0
903,1808000.0
904,1810000.0
905,1812000.0
906,1814000.0
907,1816000.0
