frame,step,timestamp,eval_return_mean,eval_return_std,eval_return_min,eval_return_max,algorithm,environment,task,seed,eval_win_rate
58000,28,2026-05-22T15:25:02.122474,3.438936233520508,2.1916661262512207,1.0066946744918823,9.504133224487305,qmix,smacv2,terran_10_vs_10,100,0.05000000074505806
60000,29,2026-05-22T15:28:48.089912,3.362408399581909,1.4748432636260986,1.2015513181686401,6.7685956954956055,qmix,smacv2,terran_10_vs_10,100,0.0
62000,30,2026-05-22T15:32:45.200304,3.6982803344726562,1.9132295846939087,1.1471623182296753,9.504132270812988,qmix,smacv2,terran_10_vs_10,100,0.05000000074505806
64000,31,2026-05-22T15:36:42.892065,2.607283115386963,1.4686172008514404,0.7423610091209412,5.322314262390137,qmix,smacv2,terran_10_vs_10,100,0.0
66000,32,2026-05-22T15:40:48.625147,2.4944779872894287,0.8971284627914429,1.0825798511505127,5.114390850067139,qmix,smacv2,terran_10_vs_10,100,0.0
68000,33,2026-05-22T15:44:55.591464,2.4358725547790527,1.2952176332473755,0.3420471251010895,6.074379920959473,qmix,smacv2,terran_10_vs_10,100,0.0
70000,34,2026-05-22T15:48:57.099033,2.9320530891418457,1.678356647491455,0.6958432197570801,7.867768287658691,qmix,smacv2,terran_10_vs_10,100,0.0
72000,35,2026-05-22T15:53:03.404087,2.7681331634521484,1.317916750907898,0.7319820523262024,5.243769645690918,qmix,smacv2,terran_10_vs_10,100,0.0
74000,36,2026-05-22T15:57:14.934371,3.339465379714966,1.8786060810089111,0.24793389439582825,8.818877220153809,qmix,smacv2,terran_10_vs_10,100,0.0
76000,37,2026-05-22T16:01:25.195743,2.4197745323181152,1.7422363758087158,0.8181818723678589,6.817286491394043,qmix,smacv2,terran_10_vs_10,100,0.0
78000,38,2026-05-22T16:05:40.146399,2.388667583465576,1.2523802518844604,0.0,5.123966693878174,qmix,smacv2,terran_10_vs_10,100,0.0
80000,39,2026-05-22T16:09:57.702009,2.0441410541534424,0.9986069798469543,0.5196321606636047,5.2582478523254395,qmix,smacv2,terran_10_vs_10,100,0.0
82000,40,2026-05-22T16:14:18.560568,2.2043633460998535,1.3706426620483398,0.20148661732673645,5.961940288543701,qmix,smacv2,terran_10_vs_10,100,0.0
84000,41,2026-05-22T16:18:40.646324,2.745405912399292,1.1574304103851318,1.2807697057724,5.7325592041015625,qmix,smacv2,terran_10_vs_10,100,0.0
86000,42,2026-05-22T16:22:58.610705,2.8493635654449463,1.3573473691940308,1.2314051389694214,6.495867729187012,qmix,smacv2,terran_10_vs_10,100,0.0
88000,43,2026-05-22T16:27:23.020251,2.2836220264434814,0.881483793258667,0.14206562936306,4.2727274894714355,qmix,smacv2,terran_10_vs_10,100,0.0
90000,44,2026-05-22T16:31:40.897165,2.7563509941101074,1.8541837930679321,0.4700494408607483,7.278334617614746,qmix,smacv2,terran_10_vs_10,100,0.0
92000,45,2026-05-22T16:35:52.566974,2.457968235015869,1.8691387176513672,0.6154481768608093,8.842974662780762,qmix,smacv2,terran_10_vs_10,100,0.05000000074505806
94000,46,2026-05-22T16:40:00.661661,2.215219259262085,1.0007396936416626,0.34752312302589417,5.082644939422607,qmix,smacv2,terran_10_vs_10,100,0.0
96000,47,2026-05-22T16:44:08.330636,3.6306278705596924,1.7840293645858765,0.4298085570335388,8.842973709106445,qmix,smacv2,terran_10_vs_10,100,0.05000000074505806
98000,48,2026-05-22T16:48:18.189561,2.5110819339752197,1.3921953439712524,0.7207999229431152,5.978919506072998,qmix,smacv2,terran_10_vs_10,100,0.0
100000,49,2026-05-22T16:52:25.305494,3.2421412467956543,1.722416877746582,0.6636911630630493,7.099173545837402,qmix,smacv2,terran_10_vs_10,100,0.0
102000,50,2026-05-22T16:56:36.112645,2.2598204612731934,1.2219421863555908,0.6023454070091248,5.652892589569092,qmix,smacv2,terran_10_vs_10,100,0.0
104000,51,2026-05-22T17:00:44.884829,2.5776116847991943,1.088794469833374,0.8925619125366211,5.306938648223877,qmix,smacv2,terran_10_vs_10,100,0.0
106000,52,2026-05-22T17:04:48.068372,2.3079521656036377,1.077918529510498,0.582741379737854,4.6299052238464355,qmix,smacv2,terran_10_vs_10,100,0.0
108000,53,2026-05-22T17:08:58.132928,2.9153361320495605,1.5242501497268677,0.6855992674827576,6.958678245544434,qmix,smacv2,terran_10_vs_10,100,0.0
110000,54,2026-05-22T17:12:59.775909,2.520977258682251,1.3017351627349854,0.23966941237449646,5.4462809562683105,qmix,smacv2,terran_10_vs_10,100,0.0
112000,55,2026-05-22T17:17:02.537572,1.790851354598999,1.188047170639038,0.4132230877876282,4.669421672821045,qmix,smacv2,terran_10_vs_10,100,0.0
114000,56,2026-05-22T17:21:06.677456,2.597923517227173,1.2536382675170898,0.9504131078720093,6.0,qmix,smacv2,terran_10_vs_10,100,0.0
116000,57,2026-05-22T17:25:10.637482,2.8801333904266357,2.233043670654297,0.4695691466331482,10.165288925170898,qmix,smacv2,terran_10_vs_10,100,0.05000000074505806
118000,58,2026-05-22T17:29:15.754509,2.950005054473877,1.1433826684951782,1.3517885208129883,4.685885906219482,qmix,smacv2,terran_10_vs_10,100,0.0
120000,59,2026-05-22T17:33:22.987760,2.648430585861206,0.9940779209136963,0.8247190713882446,4.583092212677002,qmix,smacv2,terran_10_vs_10,100,0.0
122000,60,2026-05-22T17:37:34.899607,3.077932596206665,1.0989174842834473,1.1904056072235107,5.032928466796875,qmix,smacv2,terran_10_vs_10,100,0.0
124000,61,2026-05-22T17:41:54.499751,3.397249221801758,1.3711904287338257,1.237942099571228,7.049586296081543,qmix,smacv2,terran_10_vs_10,100,0.0
126000,62,2026-05-22T17:46:09.338691,3.120927095413208,1.4348161220550537,0.4793388247489929,5.19315767288208,qmix,smacv2,terran_10_vs_10,100,0.0
128000,63,2026-05-22T17:50:18.631315,2.986276149749756,1.3288806676864624,0.8325961828231812,5.752066612243652,qmix,smacv2,terran_10_vs_10,100,0.0
130000,64,2026-05-22T17:54:19.185252,2.1565210819244385,0.9150978922843933,0.47360461950302124,3.9857754707336426,qmix,smacv2,terran_10_vs_10,100,0.0
132000,65,2026-05-22T17:58:18.497538,2.2718586921691895,1.0209635496139526,1.0742510557174683,4.363636016845703,qmix,smacv2,terran_10_vs_10,100,0.0
134000,66,2026-05-22T18:02:17.484079,1.9657748937606812,1.1990301609039307,0.36056751012802124,5.142997741699219,qmix,smacv2,terran_10_vs_10,100,0.0
136000,67,2026-05-22T18:06:19.770048,2.8358452320098877,1.8654136657714844,0.4191470742225647,7.102055549621582,qmix,smacv2,terran_10_vs_10,100,0.0
138000,68,2026-05-22T18:10:11.454865,2.7457785606384277,1.0997127294540405,1.165289044380188,4.959158420562744,qmix,smacv2,terran_10_vs_10,100,0.0
140000,69,2026-05-22T18:13:59.403787,3.370864152908325,1.7377660274505615,0.9421488046646118,7.570248603820801,qmix,smacv2,terran_10_vs_10,100,0.0
142000,70,2026-05-22T18:17:47.492597,2.668236494064331,1.3443628549575806,1.165353775024414,6.041321754455566,qmix,smacv2,terran_10_vs_10,100,0.0
144000,71,2026-05-22T18:21:31.916254,2.6337618827819824,1.426081657409668,0.8253930807113647,6.816483497619629,qmix,smacv2,terran_10_vs_10,100,0.0
146000,72,2026-05-22T18:25:24.767995,1.6050745248794556,0.9586369395256042,0.32231405377388,4.404414653778076,qmix,smacv2,terran_10_vs_10,100,0.0
148000,73,2026-05-22T18:29:13.389206,2.950937032699585,1.8252348899841309,1.350311517715454,9.504133224487305,qmix,smacv2,terran_10_vs_10,100,0.05000000074505806
150000,74,2026-05-22T18:32:53.222200,2.7862701416015625,1.2587084770202637,0.5655385255813599,6.557818412780762,qmix,smacv2,terran_10_vs_10,100,0.0
152000,75,2026-05-22T18:36:48.132752,2.897289752960205,1.9329314231872559,0.991735577583313,9.504133224487305,qmix,smacv2,terran_10_vs_10,100,0.05000000074505806
154000,76,2026-05-22T18:40:43.007587,2.289997100830078,1.0304454565048218,0.8989056348800659,5.2196855545043945,qmix,smacv2,terran_10_vs_10,100,0.0
156000,77,2026-05-22T18:44:36.322986,2.8727049827575684,1.7622815370559692,0.7635993361473083,7.8842973709106445,qmix,smacv2,terran_10_vs_10,100,0.0
158000,78,2026-05-22T18:48:32.397033,3.42702054977417,1.5390783548355103,1.1032735109329224,7.7107439041137695,qmix,smacv2,terran_10_vs_10,100,0.0
