frame,step,timestamp,eval_return_mean,eval_return_std,eval_return_min,eval_return_max,algorithm,environment,task,seed,eval_win_rate
2000,0,2026-05-24T12:40:56.912855,3.2130026817321777,1.491956114768982,1.1532663106918335,5.5276384353637695,qmix,smacv2,protoss_5_vs_5,100,0.0
4000,1,2026-05-24T12:43:17.142438,2.813316583633423,0.8873849511146545,1.428391933441162,4.763818740844727,qmix,smacv2,protoss_5_vs_5,100,0.0
6000,2,2026-05-24T12:45:38.803446,6.006406784057617,2.9276533126831055,2.275125741958618,14.251256942749023,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
8000,3,2026-05-24T12:47:58.840691,5.619472503662109,1.7695269584655762,2.663316488265991,8.773868560791016,qmix,smacv2,protoss_5_vs_5,100,0.0
10000,4,2026-05-24T12:50:19.549163,3.9013190269470215,2.1734066009521484,0.9849246144294739,10.687186241149902,qmix,smacv2,protoss_5_vs_5,100,0.0
12000,5,2026-05-24T12:52:38.708770,5.518216133117676,2.2469072341918945,2.668341636657715,12.261306762695312,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
14000,6,2026-05-24T12:55:01.750381,5.868655681610107,1.8294517993927002,2.790201187133789,9.296483039855957,qmix,smacv2,protoss_5_vs_5,100,0.0
16000,7,2026-05-24T12:57:23.739789,4.855841636657715,1.6165140867233276,2.1105525493621826,7.959799289703369,qmix,smacv2,protoss_5_vs_5,100,0.0
18000,8,2026-05-24T12:59:45.411825,4.839258670806885,2.1982505321502686,1.5665830373764038,11.256280899047852,qmix,smacv2,protoss_5_vs_5,100,0.0
20000,9,2026-05-24T13:02:06.823011,4.519911766052246,1.7956819534301758,2.0125627517700195,8.040201187133789,qmix,smacv2,protoss_5_vs_5,100,0.0
22000,10,2026-05-24T13:04:29.613614,4.494597434997559,1.6018468141555786,1.5979899168014526,7.336683750152588,qmix,smacv2,protoss_5_vs_5,100,0.0
24000,11,2026-05-24T13:06:50.693723,4.8430280685424805,1.1463286876678467,3.1658291816711426,6.834171295166016,qmix,smacv2,protoss_5_vs_5,100,0.0
26000,12,2026-05-24T13:09:09.310654,5.08272647857666,1.8447333574295044,1.7185930013656616,8.34170913696289,qmix,smacv2,protoss_5_vs_5,100,0.0
28000,13,2026-05-24T13:11:24.475928,5.045413970947266,1.855994462966919,2.492462158203125,9.531407356262207,qmix,smacv2,protoss_5_vs_5,100,0.0
30000,14,2026-05-24T13:13:41.359688,4.728266716003418,1.5797004699707031,2.3492465019226074,8.020100593566895,qmix,smacv2,protoss_5_vs_5,100,0.0
32000,15,2026-05-24T13:15:58.306134,4.644346714019775,1.6553016901016235,1.8869346380233765,10.15075397491455,qmix,smacv2,protoss_5_vs_5,100,0.0
34000,16,2026-05-24T13:18:14.015006,5.014447212219238,2.2638399600982666,2.2311556339263916,12.261306762695312,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
36000,17,2026-05-24T13:20:30.089342,4.190515041351318,1.925170660018921,1.3567839860916138,9.757537841796875,qmix,smacv2,protoss_5_vs_5,100,0.0
38000,18,2026-05-24T13:22:48.296295,4.198430061340332,1.728006362915039,1.226130723953247,6.773869514465332,qmix,smacv2,protoss_5_vs_5,100,0.0
40000,19,2026-05-24T13:25:05.218175,4.23341703414917,1.9528917074203491,1.4070351123809814,10.633166313171387,qmix,smacv2,protoss_5_vs_5,100,0.0
42000,20,2026-05-24T13:27:21.994711,4.846356391906738,2.21028995513916,1.718592882156372,10.422110557556152,qmix,smacv2,protoss_5_vs_5,100,0.0
44000,21,2026-05-24T13:29:39.742613,4.509861469268799,1.653049111366272,1.7889446020126343,7.571608066558838,qmix,smacv2,protoss_5_vs_5,100,0.0
46000,22,2026-05-24T13:31:58.253125,4.9863691329956055,2.1736559867858887,2.056532621383667,10.150753021240234,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
48000,23,2026-05-24T13:34:17.770067,5.212437152862549,1.8653347492218018,2.37060284614563,9.996231079101562,qmix,smacv2,protoss_5_vs_5,100,0.0
50000,24,2026-05-24T13:36:39.010273,5.414949417114258,1.3906023502349854,2.242462158203125,8.221105575561523,qmix,smacv2,protoss_5_vs_5,100,0.0
52000,25,2026-05-24T13:39:00.277055,3.431784152984619,1.42058265209198,1.2160804271697998,6.096733093261719,qmix,smacv2,protoss_5_vs_5,100,0.0
54000,26,2026-05-24T13:41:22.062760,4.8755645751953125,1.8897528648376465,1.2361807823181152,8.080401420593262,qmix,smacv2,protoss_5_vs_5,100,0.0
56000,27,2026-05-24T13:43:48.673112,5.826381683349609,2.3352010250091553,2.6419599056243896,12.361808776855469,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
58000,28,2026-05-24T13:46:14.304488,4.728392124176025,1.9186829328536987,1.4170852899551392,8.198493003845215,qmix,smacv2,protoss_5_vs_5,100,0.0
60000,29,2026-05-24T13:48:38.211745,3.2879395484924316,1.658192753791809,0.5628140568733215,6.927135467529297,qmix,smacv2,protoss_5_vs_5,100,0.0
62000,30,2026-05-24T13:51:02.005130,3.951192855834961,1.5602725744247437,1.6884419918060303,8.080402374267578,qmix,smacv2,protoss_5_vs_5,100,0.0
64000,31,2026-05-24T13:53:26.576238,4.699560165405273,2.236567497253418,1.6080402135849,11.033919334411621,qmix,smacv2,protoss_5_vs_5,100,0.0
66000,32,2026-05-24T13:55:52.407423,4.5276384353637695,1.6170976161956787,0.9346733093261719,8.592964172363281,qmix,smacv2,protoss_5_vs_5,100,0.0
68000,33,2026-05-24T13:58:18.335121,3.998932361602783,1.7401915788650513,0.9158291816711426,8.100502014160156,qmix,smacv2,protoss_5_vs_5,100,0.0
70000,34,2026-05-24T14:00:44.090772,3.720226287841797,2.684725046157837,0.7738693356513977,14.271357536315918,qmix,smacv2,protoss_5_vs_5,100,0.05000000074505806
72000,35,2026-05-24T14:03:09.925146,3.3105525970458984,1.9726078510284424,0.7939698100090027,7.2625627517700195,qmix,smacv2,protoss_5_vs_5,100,0.0
74000,36,2026-05-24T14:05:36.452216,2.9861183166503906,0.9264960885047913,0.9949749112129211,4.98492431640625,qmix,smacv2,protoss_5_vs_5,100,0.0
