"Step","Grouped runs - mean_total_return_100","Grouped runs - mean_total_return_100__MIN","Grouped runs - mean_total_return_100__MAX"
"2000","-0.20361474035104743","-0.5974507354140771","0.012537604561611635"
"4000","-0.5003207766428707","-0.8227057999415267","-0.1391380539204907"
"6000","-0.6137154934195509","-1.0746107198223607","-0.3598508941407981"
"8000","-0.6917920945698688","-1.1195199501666857","-0.45801285390352064"
"10000","-0.7236810596950419","-1.0906439453987198","-0.5263674506757724"
"12000","-0.755321732429927","-1.0363209748674094","-0.5606878367981705"
"14000","-0.7896415085119454","-1.0721813757078305","-0.5811014011709503"
"16000","-0.8061898068327439","-1.033758588017609","-0.653801615059549"
"18000","-0.8437428612109993","-1.0427401870741329","-0.7035232116920812"
"20000","-0.8490515255072975","-1.0012324594214725","-0.7354516295042718"
"22000","-0.8355631828398703","-0.9693760176189923","-0.7411865121342945"
"24000","-0.8501572010825521","-0.9562661670374146","-0.7805530537528963"
"26000","-0.8622659788856696","-0.965738856577258","-0.8027984223095876"
"28000","-0.8898336555435674","-0.9564747336089657","-0.8495854378391836"
"30000","-0.9005310422157639","-0.9523243768934789","-0.8536067084479844"
"32000","-0.9071349728949669","-0.9206275665325353","-0.8858944414200883"
"34000","-0.8954145262776761","-0.9555221827402127","-0.8577462251769932"
"36000","-0.8940299532744946","-0.9706084639690234","-0.8421707437175017"
"38000","-0.8663050353070686","-0.9605308228354166","-0.8024494467522484"
"40000","-0.8508756589072135","-0.9684160271539237","-0.7657087458658965"
"42000","-0.8201606194951081","-0.9463226592996662","-0.7131400205006826"
"44000","-0.7697592367463487","-0.9156589838643133","-0.6388678590182952"
"46000","-0.7428319694803408","-0.8776011390420958","-0.6198954227069201"
"48000","-0.7595795084860409","-0.9140349438321196","-0.6216841180091065"
"50000","-0.7325401452883122","-0.9059721528545296","-0.5569098387187619"
"52000","-0.7287997253297028","-0.8858762915328263","-0.5373821356060255"
"54000","-0.711589363334015","-0.8538419052443276","-0.5048919118953676"
"56000","-0.7262672274852612","-0.8609428958300773","-0.529625311416927"
"58000","-0.7228093256312293","-0.8471510672061047","-0.5341177938748579"
"60000","-0.7092538494705908","-0.8214423886038362","-0.5034434060405125"
"62000","-0.7185696907640681","-0.8145128974102981","-0.5360301290588262"
"64000","-0.7247686495386493","-0.8257792545502463","-0.5412536440187872"
"66000","-0.7222353697605574","-0.8339487480190041","-0.5324347101893548"
"68000","-0.726743375987486","-0.8510432692234793","-0.5499082670336396"
"70000","-0.7430752131664972","-0.826690110082684","-0.6252566876648616"
"72000","-0.7538339265924475","-0.8443112273262504","-0.6528545934473787"
"74000","-0.7585440465682939","-0.8726166393691132","-0.6530120423018623"
"76000","-0.7682307321500744","-0.8804378970469736","-0.6769412395417846"
"78000","-0.7583598518142419","-0.843820327416179","-0.7072342217233188"
"80000","-0.7702478772668903","-0.8481047510788535","-0.7078745246461091"
"82000","-0.7834155596109585","-0.8276067928114977","-0.7330469019539465"
"84000","-0.7760465928663928","-0.8167853269679471","-0.7110507223697655"
"86000","-0.7827598400593748","-0.8330932668922469","-0.7513609955453591"
"88000","-0.7942073866940816","-0.8566264572781513","-0.7481130625337407"
"90000","-0.7862293783036773","-0.8706409453081203","-0.7377131949777838"
"92000","-0.7982574464840724","-0.9143507741819836","-0.735840728315982"
"94000","-0.8098739463487523","-0.9412245050598635","-0.7437170866209357"
"96000","-0.8077181152747257","-0.9126724831972817","-0.7515558346071866"
"98000","-0.8102979877662237","-0.9145993389892625","-0.754474759696126"
"100000","-0.8121720929046466","-0.9257458090189147","-0.7480536685970371"
"102000","-0.804142678370595","-0.8929867518937218","-0.744165743596199"
