"Step","Grouped runs - mean_int_return_100","Grouped runs - mean_int_return_100__MIN","Grouped runs - mean_int_return_100__MAX"
"2000","0.03130498070261511","-0.09715432765161883","0.10054734828549308"
"4000","-0.1030526260683236","-0.20077608086014928","-0.010848621372133454"
"6000","-0.18234067460080125","-0.3048463773257688","-0.08352632833292851"
"8000","-0.23999412945263532","-0.3364410043895987","-0.1515321732802355"
"10000","-0.29126893202095655","-0.3663083311238085","-0.24207178880437583"
"12000","-0.3613485297500086","-0.46272602324620593","-0.2649832005084156"
"14000","-0.40586886686048435","-0.545681366963261","-0.274826958503427"
"16000","-0.4587539212172262","-0.5729053229507858","-0.3332316264429046"
"18000","-0.5099578905618813","-0.6280998177224401","-0.41088287625555975"
"20000","-0.511040734983142","-0.6382193742024296","-0.4318226062664364"
"22000","-0.5324540287040187","-0.6573942959679921","-0.4628085579283097"
"24000","-0.5431436150882458","-0.6656912562118549","-0.473252613943971"
"26000","-0.5662940921432885","-0.6999562136235461","-0.48386119937230526"
"28000","-0.6146520853494154","-0.7234034375858647","-0.5567489433533017"
"30000","-0.6538406887303639","-0.7475959639012619","-0.5884724764248905"
"32000","-0.6938616867359318","-0.7877647654129434","-0.6291997556112265"
"34000","-0.7265992101067908","-0.819391446211139","-0.6556893989348329"
"36000","-0.7402602813991167","-0.8186149991552267","-0.6605638553493928"
"38000","-0.762161081568269","-0.8137878592684612","-0.6823186305154606"
"40000","-0.7615148677601767","-0.8522188780603017","-0.6300943119370287"
"42000","-0.7633898185219015","-0.8659180968656863","-0.6266002416736302"
"44000","-0.7424090097786258","-0.8501538424297895","-0.6199239199706209"
"46000","-0.7873079784483572","-0.8879837311536676","-0.6698472567049175"
"48000","-0.7828097201219507","-0.84955993633448","-0.6710383792559004"
"50000","-0.7927812931211383","-0.8988039340199456","-0.65231784714431"
"52000","-0.8042577019481848","-0.9176885505034015","-0.6581459948987032"
"54000","-0.8327572963540518","-0.9725729265845697","-0.6665750225475787"
"56000","-0.8434285403655597","-0.9791318308320516","-0.6833753083848499"
"58000","-0.8268674865748672","-0.9487884452674281","-0.666548451697534"
"60000","-0.816137300323469","-0.9257616756067821","-0.6429153756889794"
"62000","-0.8241610012633895","-0.922399574490448","-0.6569594743905403"
"64000","-0.8290051828007075","-0.930148026760766","-0.6668032888681995"
"66000","-0.8278953519046574","-0.9243059701631683","-0.7092022712114635"
"68000","-0.8353441191079662","-0.9317782314987526","-0.7535558801113297"
"70000","-0.852260209295486","-1.0113995268261606","-0.7326885629272514"
"72000","-0.8407916614692668","-1.0046510624054903","-0.7236430708682824"
"74000","-0.8409954669778456","-0.9982472265323704","-0.7099345765123775"
"76000","-0.8375523714255125","-1.006640708482835","-0.7054759315014866"
"78000","-0.8312156618396035","-0.962381704719195","-0.7245217607095741"
"80000","-0.8219793407958752","-0.9814867272755765","-0.7042850966390446"
"82000","-0.8224881789830932","-1.0166381850797954","-0.6878045461342893"
"84000","-0.8300825807959981","-1.04913845263797","-0.7012737274088114"
"86000","-0.8338912867358488","-1.0530236072735937","-0.70928114749814"
"88000","-0.822150337519273","-1.03821281878498","-0.6728772000554865"
"90000","-0.8116184723180594","-1.015481707170539","-0.6993228375840892"
"92000","-0.7993643012024996","-0.9919531257666447","-0.6864832483498512"
"94000","-0.7853817388911531","-0.9855525493559459","-0.6365365203948506"
"96000","-0.7585470622605716","-0.9330555821501975","-0.619882770686677"
"98000","-0.7632432358411277","-0.9154843513831645","-0.6552267577455251"
"100000","-0.7507099289708702","-0.8931521650655108","-0.6524331541902866"
"102000","-0.7467151546561105","-0.8679828676439272","-0.6542669648556354"
"104000","-0.7479850257443011","-0.879809904575805","-0.6588731151839042"
"106000","-0.735448857872409","-0.8336747444500131","-0.6840057921764697"
"108000","-0.7313898272693177","-0.8134210516118823","-0.653396821570003"
"110000","-0.7219214916445008","-0.8028213491625706","-0.6262424841204653"
"112000","-0.7332035467499872","-0.809972323656299","-0.6362181979906879"
"114000","-0.7518704294512241","-0.8085388624936857","-0.6871034673153033"
"116000","-0.7892402093960599","-0.870925388365693","-0.6872355948257015"
"118000","-0.7968147075250814","-0.8687969710135658","-0.6814377712741613"
"120000","-0.8041093720128577","-0.8557509769741739","-0.7175031379974885"
"122000","-0.8211902325483882","-0.8768287206657698","-0.7418418566118548"
"124000","-0.8212430990193953","-0.8990136383656392","-0.7354102817605805"
"126000","-0.8338045596943044","-0.9038179024591265","-0.7424627595790867"
"128000","-0.8232063506401986","-0.9257809706280133","-0.735141848511379"
"130000","-0.8272892255666037","-0.9274837335130325","-0.7616806269924818"
"132000","-0.8321779095003343","-0.9428715175667496","-0.752571407786567"
"134000","-0.8246917172020175","-0.9432777624114135","-0.7577649329141286"
"136000","-0.8467988488379213","-0.9346890519915799","-0.7832524596201257"
"138000","-0.8420968650668877","-0.9711262452825796","-0.7308772897212766"
"140000","-0.8068203789901482","-0.9162022241104171","-0.7257738080689599"
"142000","-0.7913446764008869","-0.8877684855839947","-0.6994943601924898"
"144000","-0.7917034275665723","-0.8938752737338185","-0.6880929606599312"
"146000","-0.7951693500963449","-0.8624059380040384","-0.7077710109312896"
"148000","-0.7893352062049818","-0.869701446187257","-0.6818861393591061"
"150000","-0.7811491715563731","-0.8459727783688689","-0.6590956497608197"
"152000","-0.783684357791471","-0.8900696807111746","-0.6198663948604437"
"154000","-0.8007272922206821","-0.891544725973967","-0.6377900801019201"
"156000","-0.7998366201578192","-0.8941116961946146","-0.6308056020477311"
"158000","-0.7961466746633055","-0.9096498446789237","-0.5958245912445641"
"160000","-0.7943787886437693","-0.8908806341049785","-0.6202057553799615"
"162000","-0.8046460443593283","-0.8989895769066933","-0.6288981567113234"
"164000","-0.796888871130346","-0.9017883552396525","-0.6428615105340951"
"166000","-0.7799886263817356","-0.8715807543425907","-0.6420194063914395"
"168000","-0.7868280861059312","-0.8593434024058371","-0.6557091469540767"
"170000","-0.7808367317097985","-0.8639552416057923","-0.6314509057822444"
"172000","-0.7840469317525401","-0.8981177531309916","-0.6213305668593139"
"174000","-0.8002175050502526","-0.8884762042366458","-0.6910177254459429"
"176000","-0.8031679524047778","-0.8705425047306018","-0.7411593755106638"
"178000","-0.8004458186044109","-0.8379559368537122","-0.7590506463361251"
"180000","-0.7821474565379534","-0.8283929049085674","-0.7297065596852859"
"182000","-0.7735786943537478","-0.7864644307798554","-0.7641526343002638"
"184000","-0.7874893833649077","-0.84105282669521","-0.7552011665008176"
