"Step","Grouped runs - mean_ext_return_100","Grouped runs - mean_ext_return_100__MIN","Grouped runs - mean_ext_return_100__MAX"
"2000","0.040952380952380955","0","0.06904761904761904"
"4000","0.024444444444444446","0","0.048222222222222215"
"6000","0.016666666666666666","0","0.032878787878787875"
"8000","0.019403575989782887","0.012988505747126438","0.024111111111111107"
"10000","0.016666666666666666","0.013333333333333332","0.019549549549549548"
"12000","0.015175645342312008","0.014074074074074074","0.016074074074074074"
"14000","0.015064102564102561","0.01217948717948718","0.01801282051282051"
"16000","0.015846829880728185","0.013220338983050844","0.018444444444444444"
"18000","0.01825870646766169","0.01398009950248756","0.021442786069651738"
"20000","0.02021921921921922","0.012657657657657657","0.02884444444444444"
"22000","0.01844173441734417","0.011422764227642275","0.026382113821138208"
"24000","0.016841448189762794","0.010524344569288389","0.024037037037037034"
"26000","0.020733104238258877","0.01240549828178694","0.029999999999999995"
"28000","0.01941111111111111","0.0072","0.0294"
"30000","0.019011111111111107","0.0048","0.027299999999999994"
"32000","0.01958888888888889","0.006533333333333333","0.027299999999999994"
"34000","0.01983333333333333","0.006533333333333333","0.027299999999999994"
"36000","0.01994444444444444","0.006533333333333333","0.02763333333333333"
"38000","0.02032222222222222","0.008333333333333333","0.02683333333333333"
"40000","0.020322222222222217","0.008333333333333333","0.02683333333333333"
"42000","0.01768888888888889","0.006200000000000001","0.024766666666666666"
"44000","0.016633333333333333","0.011500000000000002","0.0196"
"46000","0.014466666666666668","0.011500000000000002","0.018799999999999997"
"48000","0.013744444444444443","0.010933333333333333","0.018799999999999997"
"50000","0.015688888888888888","0.010933333333333333","0.02323333333333333"
"52000","0.015966666666666667","0.007933333333333334","0.02613333333333333"
"54000","0.014011111111111113","0.0031666666666666666","0.025033333333333335"
"56000","0.013455555555555556","0.0015000000000000002","0.025033333333333335"
"58000","0.015866666666666664","0.006133333333333333","0.023"
"60000","0.015833333333333335","0.006133333333333333","0.0229"
"62000","0.014322222222222222","0.006133333333333333","0.018466666666666666"
"64000","0.017377777777777777","0.010266666666666667","0.022399999999999996"
"66000","0.01752222222222222","0.011866666666666666","0.022399999999999996"
"68000","0.019","0.01373333333333333","0.022399999999999996"
"70000","0.017233333333333333","0.01373333333333333","0.02086666666666667"
"72000","0.0219","0.0171","0.024499999999999997"
"74000","0.023311111111111112","0.0171","0.028333333333333332"
"76000","0.023311111111111112","0.0171","0.028333333333333332"
"78000","0.021366666666666662","0.018833333333333334","0.0245"
"80000","0.01863333333333333","0.015233333333333331","0.024499999999999997"
"82000","0.021877777777777777","0.015233333333333335","0.0259"
"84000","0.021655555555555553","0.015233333333333335","0.029866666666666663"
"86000","0.01872222222222222","0.008866666666666667","0.027433333333333327"
"88000","0.020155555555555555","0.008866666666666667","0.03173333333333333"
"90000","0.018266666666666667","0.008866666666666667","0.030633333333333332"
"92000","0.015822222222222224","0.0031333333333333335","0.030633333333333332"
"94000","0.017244444444444444","0.006900000000000001","0.029266666666666663"
"96000","0.01962222222222222","0.006900000000000001","0.029266666666666663"
"98000","0.020544444444444445","0.014566666666666665","0.026033333333333332"
"100000","0.017466666666666665","0.014566666666666667","0.021799999999999996"
"102000","0.018488888888888885","0.014566666666666667","0.024866666666666662"
"104000","0.018255555555555553","0.011433333333333334","0.024866666666666662"
"106000","0.019099999999999995","0.011433333333333334","0.024866666666666662"
"108000","0.019133333333333332","0.011433333333333334","0.029399999999999996"
"110000","0.017955555555555558","0.008566666666666667","0.03386666666666667"
"112000","0.021133333333333334","0.011433333333333334","0.03773333333333333"
"114000","0.02052222222222222","0.011433333333333334","0.03773333333333333"
"116000","0.021688888888888886","0.011433333333333334","0.04123333333333333"
"118000","0.024022222222222223","0.011433333333333334","0.04123333333333333"
"120000","0.022377777777777778","0.011433333333333334","0.0375"
"122000","0.018744444444444446","0.007666666666666666","0.030366666666666667"
"124000","0.01712222222222222","0.0023","0.030866666666666664"
"126000","0.018044444444444443","0","0.03593333333333333"
"128000","0.01702222222222222","0","0.03593333333333333"
"130000","0.01872222222222222","0.006533333333333333","0.034499999999999996"
"132000","0.019544444444444444","0.007866666666666668","0.035633333333333336"
"134000","0.016744444444444444","0.007866666666666668","0.02723333333333333"
"136000","0.015799999999999998","0.007866666666666668","0.024399999999999995"
"138000","0.0158","0.007866666666666668","0.024400000000000005"
"140000","0.013355555555555556","0.007866666666666668","0.020533333333333334"
"142000","0.014666666666666666","0.007866666666666668","0.0241"
"144000","0.014744444444444444","0.012033333333333332","0.019533333333333333"
"146000","0.013622222222222221","0.0074","0.019533333333333333"
"148000","0.01488888888888889","0.011200000000000002","0.019533333333333333"
"150000","0.014266666666666669","0.011200000000000002","0.017666666666666667"
"152000","0.011666666666666667","0.009866666666666668","0.013933333333333336"
"154000","0.01317777777777778","0.009866666666666668","0.015733333333333332"
"156000","0.011000000000000001","0.007400000000000001","0.015733333333333332"
"158000","0.009","0.0052","0.015733333333333332"
"160000","0.009688888888888888","0.0052","0.015733333333333332"
"162000","0.01141111111111111","0.0052","0.019666666666666666"
"164000","0.011333333333333334","0.0035666666666666668","0.01966666666666667"
"166000","0.010599999999999998","0.0035666666666666668","0.017466666666666665"
"168000","0.011744444444444441","0.005099999999999999","0.019366666666666664"
"170000","0.014044444444444443","0.006299999999999999","0.023933333333333334"
"172000","0.01441111111111111","0.006299999999999999","0.021566666666666665"
"174000","0.013866666666666664","0.008633333333333331","0.018866666666666667"
"176000","0.013866666666666664","0.008633333333333331","0.018866666666666667"
"178000","0.013866666666666664","0.008633333333333331","0.018866666666666667"
"180000","0.014677777777777776","0.008633333333333331","0.0213"
"182000","0.016366666666666665","0.010266666666666664","0.02063333333333333"
"184000","0.017833333333333333","0.010266666666666664","0.022600000000000002"
"186000","0.019155555555555554","0.014233333333333329","0.022600000000000002"
"188000","0.016744444444444444","0.014233333333333329","0.018666666666666668"
"190000","0.016277777777777776","0.01423333333333333","0.018666666666666668"
"192000","0.017166666666666667","0.014233333333333329","0.021333333333333333"
"194000","0.017977777777777777","0.015933333333333334","0.021399999999999995"
"196000","0.017066666666666667","0.0148","0.019899999999999998"
"198000","0.01757777777777778","0.0148","0.021433333333333332"
"200000","0.014933333333333335","0.006533333333333333","0.02033333333333333"
"202000","0.018511111111111114","0.006533333333333333","0.0279"
"204000","0.018511111111111114","0.006533333333333333","0.0279"
"206000","0.017222222222222222","0.006533333333333333","0.024033333333333334"
"208000","0.01597777777777778","0","0.024033333333333334"
"210000","0.019444444444444448","0","0.03443333333333334"
"212000","0.020699999999999996","0","0.04216666666666666"
"214000","0.020699999999999996","0","0.04216666666666666"
"216000","0.021155555555555552","0","0.04353333333333333"
"218000","0.020266666666666665","0","0.04086666666666666"
"220000","0.01741111111111111","0","0.04086666666666666"
"222000","0.01631111111111111","0","0.037566666666666665"
"224000","0.014744444444444444","0","0.03286666666666667"
"226000","0.015233333333333333","0","0.03286666666666666"
"228000","0.014011111111111111","0","0.03613333333333333"
"230000","0.011488888888888889","0","0.028566666666666664"
"232000","0.012388888888888889","0.0027","0.028566666666666664"
"234000","0.01091111111111111","0.001466666666666666","0.028566666666666664"
"236000","0.009944444444444443","0.001466666666666666","0.019733333333333332"
"238000","0.007655555555555554","0.004766666666666666","0.009566666666666664"
"240000","0.007522222222222221","0.005933333333333331","0.008633333333333333"
"242000","0.0070666666666666655","0.005933333333333331","0.008633333333333333"
"244000","0.009333333333333332","0.006633333333333332","0.011233333333333331"
"246000","0.0116","0.009133333333333332","0.014433333333333333"
"248000","0.0116","0.009133333333333332","0.014433333333333333"
"250000","0.012466666666666666","0.011233333333333331","0.014433333333333333"
"252000","0.01271111111111111","0.009766666666666667","0.014433333333333333"
"254000","0.01271111111111111","0.009766666666666667","0.014433333333333333"
"256000","0.012544444444444443","0.009766666666666667","0.014433333333333333"
"258000","0.012555555555555556","0.009766666666666667","0.016166666666666666"
"260000","0.012555555555555556","0.009766666666666667","0.016166666666666666"
"262000","0.014066666666666667","0.009766666666666667","0.020700000000000003"
"264000","0.01208888888888889","0.0058000000000000005","0.020700000000000003"
"266000","0.012677777777777779","0.0053","0.026933333333333333"
"268000","0.01402222222222222","0.0053","0.030966666666666663"
"270000","0.013033333333333334","0.0017333333333333335","0.030966666666666663"
"272000","0.012199999999999997","0.0017333333333333335","0.02846666666666666"
"274000","0.010766666666666666","0.0017333333333333335","0.02846666666666666"
"276000","0.010766666666666667","0.0017333333333333335","0.028466666666666668"
"278000","0.011977777777777776","0.0017333333333333335","0.022266666666666667"
"280000","0.011977777777777776","0.0017333333333333335","0.022266666666666667"
"282000","0.012522222222222221","0.0017333333333333335","0.022266666666666667"
"284000","0.01202222222222222","0.0017333333333333335","0.0184"
"286000","0.012155555555555557","0.003766666666666667","0.016766666666666666"
"288000","0.012733333333333333","0.003766666666666667","0.022199999999999998"
"290000","0.012733333333333333","0.003766666666666667","0.0222"
"292000","0.013511111111111113","0.003766666666666667","0.0222"
"294000","0.010044444444444444","0.003766666666666667","0.0222"
"296000","0.008855555555555556","0.0020333333333333336","0.0222"
"298000","0.009155555555555557","0.0031000000000000003","0.020100000000000003"
"300000","0.013499999999999998","0.009466666666666667","0.020099999999999996"
"302000","0.014022222222222222","0.009466666666666667","0.020099999999999996"
"304000","0.018022222222222224","0.016733333333333336","0.01906666666666667"
"306000","0.01656666666666667","0.012366666666666668","0.01906666666666667"
"308000","0.018611111111111113","0.018266666666666667","0.01906666666666667"
"310000","0.017277777777777777","0.014499999999999999","0.01906666666666667"
"312000","0.017944444444444443","0.014499999999999999","0.021066666666666664"
"314000","0.017944444444444443","0.014499999999999999","0.021066666666666668"
"316000","0.015855555555555553","0.008233333333333332","0.021066666666666668"
"318000","0.016566666666666664","0.008233333333333332","0.021066666666666668"
"320000","0.0179","0.008233333333333332","0.0274"
"322000","0.0179","0.008233333333333332","0.0274"
"324000","0.0169","0.008233333333333332","0.026333333333333334"
"326000","0.014933333333333331","0.008233333333333332","0.020433333333333335"
"328000","0.0171","0.011066666666666664","0.020733333333333333"
"330000","0.018655555555555554","0.016833333333333332","0.020733333333333333"
"332000","0.016844444444444443","0.010699999999999998","0.02283333333333333"
"334000","0.01712222222222222","0.010699999999999998","0.023666666666666662"
"336000","0.01712222222222222","0.010699999999999998","0.023666666666666662"
"338000","0.01712222222222222","0.010699999999999998","0.023666666666666662"
"340000","0.015777777777777776","0.010699999999999998","0.023666666666666662"
"342000","0.015777777777777776","0.010699999999999998","0.023666666666666662"
"344000","0.01718888888888889","0.010699999999999998","0.0279"
"346000","0.015977777777777778","0.006633333333333333","0.0279"
"348000","0.018344444444444444","0.011099999999999999","0.0279"
"350000","0.018344444444444444","0.011099999999999999","0.0279"
"352000","0.020055555555555556","0.011099999999999999","0.0279"
"354000","0.0164","0.0073","0.025066666666666668"
"356000","0.013044444444444444","0.0073","0.019233333333333335"
"358000","0.010544444444444445","0.006333333333333333","0.0127"
"360000","0.008222222222222221","0.005733333333333333","0.012599999999999998"
"362000","0.009077777777777777","0.006333333333333333","0.012599999999999998"
"364000","0.010744444444444444","0.006333333333333333","0.013300000000000001"
"366000","0.011966666666666665","0.006333333333333333","0.016966666666666665"
"368000","0.013033333333333333","0.006333333333333333","0.016966666666666665"
"370000","0.01363333333333333","0.007733333333333332","0.017366666666666662"
"372000","0.01702222222222222","0.010966666666666664","0.022733333333333335"
"374000","0.01574444444444444","0.009766666666666665","0.020099999999999996"
"376000","0.014655555555555552","0.006499999999999998","0.020099999999999996"
"378000","0.012944444444444444","0.006499999999999998","0.017366666666666662"
"380000","0.013833333333333331","0.006499999999999998","0.01763333333333333"
"382000","0.013333333333333334","0.006499999999999998","0.017633333333333338"
"384000","0.014855555555555558","0.011066666666666664","0.017633333333333338"
"386000","0.015666666666666666","0.011066666666666664","0.020066666666666667"
"388000","0.015744444444444443","0.0133","0.020066666666666667"
"390000","0.01681111111111111","0.0133","0.020066666666666667"
"392000","0.01392222222222222","0.004633333333333333","0.020066666666666667"
"394000","0.014499999999999999","0.004633333333333333","0.022"
"396000","0.015911111111111112","0.004633333333333333","0.02273333333333333"
"398000","0.009744444444444443","0","0.019499999999999997"
"400000","0.010377777777777776","0","0.019499999999999997"
"402000","0.011055555555555555","0","0.019499999999999997"
"404000","0.011055555555555555","0","0.019499999999999997"
"406000","0.011499999999999998","0.0013333333333333342","0.019499999999999997"
"408000","0.012366666666666666","0.0013333333333333342","0.024766666666666666"
"410000","0.010222222222222221","0.0013333333333333342","0.01833333333333333"
"412000","0.011077777777777777","0.0013333333333333342","0.01833333333333333"
"414000","0.01052222222222222","0.002466666666666667","0.01553333333333333"
"416000","0.01108888888888889","0.004","0.01693333333333333"
