"Step","Grouped runs - mean_ext_return_100","Grouped runs - mean_ext_return_100__MIN","Grouped runs - mean_ext_return_100__MAX"
"2000","0.040952380952380955","0","0.06904761904761904"
"4000","0.02622222222222222","0","0.04644444444444444"
"6000","0.02456521739130435","0","0.042028985507246375"
"8000","0.033185185185185186","0.021111111111111112","0.04622222222222223"
"10000","0.03640746009167061","0.017117117117117116","0.05333333333333332"
"12000","0.030290928609769185","0.014074074074074074","0.04405797101449275"
"14000","0.03457772641210796","0.01217948717948718","0.050987654320987646"
"16000","0.033707346690953245","0.018444444444444444","0.04743169398907104"
"18000","0.031869817578772795","0.021442786069651738","0.04254901960784313"
"20000","0.031078167641325535","0.019155555555555554","0.04578947368421052"
"22000","0.02828417036321826","0.01752032520325203","0.041428571428571426"
"24000","0.026031203364536695","0.01596296296296296","0.03824175824175824"
"26000","0.025210138413378474","0.014810996563573882","0.03636363636363636"
"28000","0.022477777777777774","0.016066666666666663","0.03223333333333333"
"30000","0.023666666666666666","0.019133333333333332","0.03223333333333333"
"32000","0.02098888888888889","0.0143","0.029033333333333335"
"34000","0.016577777777777775","0.013300000000000001","0.022133333333333328"
"36000","0.01492222222222222","0.013300000000000001","0.017166666666666663"
"38000","0.013455555555555554","0.009233333333333333","0.015733333333333332"
"40000","0.010488888888888888","0.002466666666666667","0.0187"
"42000","0.007833333333333333","0.002466666666666667","0.013966666666666665"
"44000","0.006733333333333333","0.002466666666666667","0.010666666666666665"
"46000","0.0064111111111111105","0.0012","0.010666666666666665"
"48000","0.007277777777777778","0.002533333333333334","0.01193333333333333"
"50000","0.007277777777777779","0.002533333333333334","0.011933333333333334"
"52000","0.00898888888888889","0.0013333333333333342","0.017166666666666667"
"54000","0.009733333333333332","0.003333333333333335","0.019866666666666664"
"56000","0.011666666666666665","0.003333333333333335","0.023499999999999997"
"58000","0.011933333333333332","0.005033333333333334","0.01993333333333333"
"60000","0.015255555555555555","0.009566666666666668","0.01993333333333333"
"62000","0.017577777777777776","0.012733333333333334","0.020066666666666667"
"64000","0.01687777777777778","0.012733333333333334","0.020066666666666667"
"66000","0.021633333333333334","0.016866666666666665","0.02426666666666667"
"68000","0.02288888888888889","0.018500000000000003","0.0274"
"70000","0.02638888888888889","0.022766666666666664","0.029400000000000003"
