"Step","Grouped runs - mean_total_return_100","Grouped runs - mean_total_return_100__MIN","Grouped runs - mean_total_return_100__MAX"
"2000","23.05900929853099","22.223896573518097","24.197375910177037"
"4000","16.32633498101823","14.724888428786977","17.690252398804244"
"6000","12.22077523398277","10.823522677269438","13.847951486922064"
"8000","10.02970779985613","9.137870226321914","11.121627047913005"
"10000","8.653052373389963","7.887667162245512","9.388573076258774"
"12000","7.908706772940735","7.399093337371524","8.403023818932464"
"14000","7.39697282890648","6.974325936421301","7.678315588721215"
"16000","6.997227327906679","6.709587997056785","7.279779379712259"
"18000","6.756733439404687","6.559861823321092","6.962888775325463"
"20000","6.53802321910468","6.420617942132539","6.635977277792792"
"22000","6.370336505292663","6.306553169923728","6.407602212472964"
"24000","6.281322705270036","6.2413177108370785","6.3105755514739155"
"26000","6.286330623729625","6.236177083182753","6.328135253609525"
"28000","5.259328804439976","5.107323432988716","5.449499864118496"
"30000","4.7671102081545005","4.564259165863037","5.013268929488348"
"32000","4.82120170567883","4.355534975737749","5.221000633314381"
"34000","5.02501014805812","4.596871896176863","5.507539365438814"
"36000","5.246639300806994","4.937172479565353","5.735370698108526"
"38000","5.420008025177627","5.172511311453239","5.9020475908865295"
"40000","5.46295146177635","5.225460445030288","5.9016706589111045"
"42000","5.665715566317279","5.404685653168933","6.042621757952723"
"44000","5.770425054933736","5.383109183333736","6.215397767726907"
"46000","6.031426504461695","5.540748998894163","6.465435432800295"
"48000","6.195647411971457","5.596148032906218","6.6587910460350965"
"50000","6.35996499586496","5.782053432825705","6.789948832133522"
"52000","6.498811456586133","5.831145957239127","7.101364795900057"
"54000","6.643981945801329","5.922695894910458","7.295912248314474"
"56000","6.791140090366632","6.01451485729171","7.448928960186061"
"58000","6.935823709195522","6.043768641277898","7.5909480781468055"
"60000","7.058185913596595","6.161286925841921","7.706962316212539"
"62000","7.136588387910624","6.253352163585702","7.888054325721532"
"64000","7.245307413017504","6.398210531868002","8.091752762787873"
"66000","7.3817246032526915","6.40159376533103","8.372363734418588"
"68000","7.486707895343069","6.483573795285604","8.497954447684087"
"70000","7.561259172704861","6.567510798441309","8.557954139611018"
"72000","7.591197686804752","6.536983173556572","8.471976020012052"
"74000","7.6126368143572885","6.584477411530944","8.541167471240598"
"76000","7.5934893061050905","6.441952193979727","8.625248342385992"
"78000","7.76311314035096","6.639792330059836","8.684695494438628"
"80000","7.725883456630437","6.66590527156059","8.43930073486279"
"82000","7.72875074170704","6.634661984898406","8.40547040639807"
"84000","7.710459634523592","6.575115305607929","8.491390052895943"
"86000","7.720233150929868","6.611087858981941","8.405672999818856"
"88000","7.692355536296657","6.6328005149810565","8.289454675221926"
"90000","7.760438411178285","6.729626455138345","8.332586447989328"
"92000","7.79821367170054","6.870796088709032","8.28562918143093"
"94000","7.883776923640667","7.059836671148862","8.409529802795609"
"96000","7.984996119709561","7.182524973935814","8.530390692926181"
"98000","8.022636198227348","7.277261022188018","8.509385448335664"
"100000","8.078362479174451","7.469165500937396","8.389812036631097"
"102000","8.104301542390907","7.721569858368502","8.353786391918677"
"104000","8.095046210834926","7.792724605359271","8.322173133783117"
"106000","8.097700383785336","7.942947459211891","8.370620660072966"
"108000","8.038646253007025","7.863830830741054","8.292471565910178"
"110000","8.074747804082891","7.804317430535576","8.214567590548858"
"112000","8.155291798612161","7.768946788746515","8.360773311311764"
"114000","8.18734479967019","7.756043662477201","8.491124114949377"
"116000","8.199630157831882","7.855903171055893","8.499936709714126"
"118000","8.157839437996943","7.897845518245751","8.555547563191695"
"120000","8.21524652164247","7.929635358840499","8.489547762239566"
"122000","8.154743463821559","7.688326427173013","8.564302661029885"
"124000","8.129833164933261","7.581563156586883","8.69700789798609"
"126000","8.237094845783588","7.778734095049234","8.713530008690805"
"128000","8.216472012505468","7.906600055766494","8.554063808978754"
"130000","8.265015394352009","7.927411618489974","8.638028555693582"
"132000","8.316820621478426","8.061530156131862","8.748400036242321"
"134000","8.308149827355292","7.951968775347601","8.812369475642274"
"136000","8.296839361184373","8.048583493924154","8.640052230634259"
"138000","8.25901044578182","8.069035920865101","8.515613907912677"
"140000","8.282186954332522","8.080906682530584","8.68029546624424"
"142000","8.262619384396585","8.025720120483335","8.624991473882945"
"144000","8.29200525197353","8.054264700184483","8.582072034213523"
"146000","8.293452164017692","8.011936524199717","8.624344099479943"
"148000","8.30152072297189","8.015443124632984","8.619392973602283"
"150000","8.282465267852805","8.074933431980982","8.572267213625754"
"152000","8.214308215090723","7.9697941672133705","8.68457939233128"
