"Step","Grouped runs - mean_int_return_100","Grouped runs - mean_int_return_100__MIN","Grouped runs - mean_int_return_100__MAX"
"2000","0.04614338259998473","-0.03585231577412098","0.10549502970284916"
"4000","-0.10431817651125287","-0.18414598980037095","0.02359841236340193"
"6000","-0.19622704953439074","-0.2994721009533103","-0.06799105916950127"
"8000","-0.23542238310663785","-0.30668030002810465","-0.11880354869509266"
"10000","-0.2646429035579095","-0.3523134713529667","-0.13447023133033054"
"12000","-0.3489327894935737","-0.43871626201730074","-0.2028597343653544"
"14000","-0.4084349267929383","-0.49193369029130746","-0.26876137116098175"
"16000","-0.47293549514030714","-0.5586564662168496","-0.3385911624486531"
"18000","-0.5176773960863593","-0.5795691526459805","-0.4164957427353863"
"20000","-0.5299598555378178","-0.5993923902241581","-0.4373001162766329"
"22000","-0.5330331797090608","-0.5762865519027275","-0.45654416301506046"
"24000","-0.5425834656872668","-0.5969175909083255","-0.46537054897725993"
"26000","-0.5589872425879567","-0.5945159680873516","-0.49660841604436246"
"28000","-0.5980892120127071","-0.6344681923810858","-0.5297683170788678"
"30000","-0.6483967426743429","-0.6836351891771816","-0.6224295465039195"
"32000","-0.6820299304670714","-0.7076634424632108","-0.6511001625489504"
"34000","-0.7071578872682092","-0.7483493141766248","-0.6450079946726386"
"36000","-0.732435222852745","-0.8251122132006294","-0.6426178502913157"
"38000","-0.7404722425746892","-0.8777168187167499","-0.6250055948175636"
"40000","-0.738941642088871","-0.9092407686398603","-0.6151432608762902"
"42000","-0.7455909706089304","-0.942977349962317","-0.6058160741993839"
"44000","-0.7363778943582494","-0.9425193180085099","-0.6085439058806428"
"46000","-0.7566789341687734","-0.9691305755271169","-0.6425424606474611"
"48000","-0.761971725985906","-0.9843936982621062","-0.6476126101699701"
"50000","-0.7650128664015599","-0.9925260313109183","-0.618501073087151"
"52000","-0.7821676392026055","-1.0152093192891924","-0.6269202737389642"
"54000","-0.7867384052210581","-0.9837565677485263","-0.626833494017541"
"56000","-0.8005764325161556","-0.9986211416765299","-0.6094518512015348"
"58000","-0.7729654446476325","-0.9218354498787856","-0.5724638085051847"
"60000","-0.7871148091609824","-0.9106335850713703","-0.5571342534980503"
"62000","-0.7958135827177512","-0.9289643553410032","-0.5703876888507076"
"64000","-0.7961403673830473","-0.9641982195914944","-0.5818818930705675"
"66000","-0.7830548484314072","-0.9812358942708279","-0.5521119241421184"
"68000","-0.7669605622083292","-0.94004754991143","-0.554019052639029"
"70000","-0.7797971982744984","-0.9288189383125911","-0.5761446408475531"
"72000","-0.7759763374605639","-0.9024381127916612","-0.6007145170956866"
"74000","-0.8058814058915721","-0.9629738841281262","-0.6145838051783866"
"76000","-0.8052372087322636","-0.9064140607498313","-0.6572432469124105"
"78000","-0.8159164185760481","-0.8834999095022102","-0.6842607098443186"
"80000","-0.7998269208620746","-0.9251921836513972","-0.6605137087049299"
"82000","-0.7919241792031902","-0.9289613611675192","-0.6526734115763904"
"84000","-0.7799405883510618","-0.9555867660535988","-0.6401808823445392"
"86000","-0.7976802026175452","-0.9586417509175917","-0.7063145703135162"
"88000","-0.7941070099856216","-0.9835476187240048","-0.6776066243406024"
"90000","-0.8026203648118878","-1.0051126976492768","-0.6971543584632021"
"92000","-0.815638143883692","-1.0269537244689038","-0.70576330917789"
"94000","-0.8378865266550467","-1.0483319546297145","-0.725562656825576"
"96000","-0.8627430849355217","-1.0720696290582774","-0.7444306896324907"
"98000","-0.8588579689620061","-1.0616553629446783","-0.7357913516118062"
"100000","-0.8292370219646176","-1.0469513676646522","-0.6999029093031769"
"102000","-0.8489823501025547","-1.051566083432822","-0.7398847049681845"
"104000","-0.8382290304925791","-1.0209747300521115","-0.7349334288372852"
"106000","-0.8479386384373858","-0.9880493503378812","-0.7540164105691151"
"108000","-0.8849658974366434","-1.0446637899214106","-0.7912426576262008"
"110000","-0.9055208904518639","-1.0759943094718758","-0.7914550573421748"
"112000","-0.9008389931753573","-1.0383558675279232","-0.7957422728207623"
"114000","-0.896038125271641","-1.0618622071612946","-0.7788729921182386"
"116000","-0.8927820802755905","-1.0528292776431802","-0.7487299541833875"
"118000","-0.9027721266622909","-1.0687115122596946","-0.7361261234075882"
"120000","-0.907511656212398","-1.044760112225864","-0.753399518967106"
"122000","-0.9293615319470394","-1.06358554553389","-0.8095387499555309"
"124000","-0.9410517853702167","-1.083180312789249","-0.8083891440907556"
"126000","-0.9476669112583483","-1.0523871042134125","-0.8308654874293004"
"128000","-0.9660512776421101","-1.0760578386246928","-0.8351713004352661"
"130000","-0.9492022240657499","-1.0557742444440958","-0.8291953631396773"
"132000","-0.9436384762221351","-1.0603394592326367","-0.8168790479835024"
"134000","-0.930808093346054","-1.0471895649466898","-0.7972604959520412"
"136000","-0.9462468272082164","-1.0722623262449051","-0.8312535029231821"
"138000","-0.9693358682423012","-1.1173053093046768","-0.8395235603710626"
"140000","-0.9471994916715122","-1.09547222367028","-0.8467513236399264"
"142000","-0.96278894457399","-1.1159218406144646","-0.8848249022510628"
"144000","-0.9723380316316126","-1.1157538252786618","-0.8725731508683002"
"146000","-0.9599963786306126","-1.1232949901132963","-0.8011611985704858"
"148000","-0.9164141805760878","-1.0763325991823223","-0.7509446533308275"
"150000","-0.8900412132095535","-1.0394784908971635","-0.7246576336531709"
"152000","-0.9023107759279538","-1.0694293921801146","-0.7218521339741037"
"154000","-0.9085870345402771","-1.0987854144775193","-0.7106286101230854"
"156000","-0.9138131498709033","-1.0857643017374794","-0.7207303617897888"
"158000","-0.9257231328662785","-1.1001933616321187","-0.7309339928847148"
"160000","-0.9188001913188067","-1.1310835272814732","-0.7026381532865379"
"162000","-0.9163707015112","-1.1336813859706747","-0.700552134225112"
"164000","-0.8825177972341662","-1.0974780514128506","-0.6645696279553485"
"166000","-0.8945281934299917","-1.1112294822447004","-0.6845153611686581"
"168000","-0.8915282774582217","-1.1299554603486321","-0.6895876794984833"
"170000","-0.865047009723078","-1.0919075663681144","-0.6832868857219182"
"172000","-0.869772917250842","-1.1084279643450865","-0.694632189157728"
"174000","-0.8578529643442611","-1.0776328171208733","-0.7085639747396164"
"176000","-0.8638311058078045","-1.0430700719888555","-0.7289699083475314"
"178000","-0.8420079437771456","-1.0553552690829384","-0.6719071561579585"
